t_s,x,dx_dt
0.0,0.0,62.831853
0.00025,0.015712,62.829914
0.0005,0.031422,62.824098
0.00075,0.047131,62.814404
0.001,0.062837,62.800834
0.00125,0.078539,62.783388
0.0015,0.094236,62.762067
0.00175,0.109928,62.736873
0.002001,0.125612,62.707807
0.002251,0.141289,62.674871
0.002501,0.156957,62.638067
0.002751,0.172616,62.597397
0.003001,0.188264,62.552864
0.003251,0.2039,62.50447
0.003501,0.219523,62.452219
0.003751,0.235133,62.396114
0.004001,0.250729,62.336158
0.004251,0.266309,62.272354
0.004501,0.281872,62.204708
0.004751,0.297419,62.133223
0.005001,0.312947,62.057903
0.005251,0.328455,61.978753
0.005501,0.343943,61.895778
0.005751,0.35941,61.808983
0.006002,0.374855,61.718373
0.006252,0.390277,61.623955
0.006502,0.405675,61.525733
0.006752,0.421047,61.423714
0.007002,0.436394,61.317905
0.007252,0.451714,61.208311
0.007502,0.467005,61.09494
0.007752,0.482268,60.977798
0.008002,0.497502,60.856893
0.008252,0.512704,60.732232
0.008502,0.527875,60.603823
0.008752,0.543013,60.471674
0.009002,0.558118,60.335792
0.009252,0.573188,60.196187
0.009502,0.588223,60.052867
0.009752,0.603222,59.905841
0.010003,0.618183,59.755118
0.010253,0.633107,59.600707
0.010503,0.647991,59.442617
0.010753,0.662835,59.280859
0.011003,0.677638,59.115443
0.011253,0.6924,58.946378
0.011503,0.707119,58.773675
0.011753,0.721794,58.597345
0.012003,0.736424,58.417399
0.012253,0.75101,58.233847
0.012503,0.765548,58.046702
0.012753,0.78004,57.855974
0.013003,0.794483,57.661675
0.013253,0.808878,57.463818
0.013503,0.823222,57.262414
0.013753,0.837516,57.057477
0.014004,0.851758,56.849018
0.014254,0.865947,56.63705
0.014504,0.880083,56.421588
0.014754,0.894165,56.202643
0.015004,0.908191,55.980229
0.015254,0.922161,55.754361
0.015504,0.936075,55.525052
0.015754,0.949931,55.292316
0.016004,0.963728,55.056167
0.016254,0.977465,54.816621
0.016504,0.991143,54.573692
0.016754,1.004759,54.327395
0.017004,1.018313,54.077745
0.017254,1.031804,53.824757
0.017504,1.045232,53.568448
0.017754,1.058595,53.308832
0.018005,1.071892,53.045927
0.018255,1.085124,52.779748
0.018505,1.098289,52.510311
0.018755,1.111385,52.237634
0.019005,1.124414,51.961733
0.019255,1.137372,51.682625
0.019505,1.150261,51.400328
0.019755,1.163079,51.114858
0.020005,1.175825,50.826234
0.020255,1.188498,50.534473
0.020505,1.201098,50.239593
0.020755,1.213624,49.941612
0.021005,1.226075,49.64055
0.021255,1.23845,49.336424
0.021505,1.250749,49.029253
0.021755,1.262971,48.719056
0.022006,1.275114,48.405852
0.022256,1.287179,48.089661
0.022506,1.299165,47.770502
0.022756,1.31107,47.448395
0.023006,1.322895,47.12336
0.023256,1.334638,46.795416
0.023506,1.346298,46.464585
0.023756,1.357875,46.130886
0.024006,1.369369,45.794339
0.024256,1.380778,45.454967
0.024506,1.392102,45.112789
0.024756,1.40334,44.767827
0.025006,1.414491,44.420103
0.025256,1.425555,44.069637
0.025506,1.436531,43.716451
0.025756,1.447419,43.360567
0.026007,1.458217,43.002007
0.026257,1.468925,42.640793
0.026507,1.479542,42.276948
0.026757,1.490068,41.910493
0.027007,1.500503,41.541452
0.027257,1.510844,41.169847
0.027507,1.521093,40.795702
0.027757,1.531247,40.419038
0.028007,1.541307,40.03988
0.028257,1.551272,39.658251
0.028507,1.561141,39.274175
0.028757,1.570913,38.887675
0.029007,1.580589,38.498774
0.029257,1.590167,38.107498
0.029507,1.599648,37.71387
0.029757,1.609029,37.317914
0.030008,1.618311,36.919656
0.030258,1.627493,36.519118
0.030508,1.636575,36.116327
0.030758,1.645556,35.711307
0.031008,1.654435,35.304083
0.031258,1.663212,34.894681
0.031508,1.671886,34.483124
0.031758,1.680458,34.06944
0.032008,1.688925,33.653653
0.032258,1.697289,33.235789
0.032508,1.705547,32.815874
0.032758,1.7137,32.393933
0.033008,1.721748,31.969994
0.033258,1.729689,31.544081
0.033508,1.737524,31.116222
0.033758,1.745251,30.686442
0.034009,1.752871,30.254768
0.034259,1.760382,29.821228
0.034509,1.767785,29.385846
0.034759,1.775079,28.948652
0.035009,1.782263,28.50967
0.035259,1.789337,28.068929
0.035509,1.7963,27.626456
0.035759,1.803153,27.182278
0.036009,1.809895,26.736422
0.036259,1.816525,26.288917
0.036509,1.823042,25.839788
0.036759,1.829448,25.389065
0.037009,1.83574,24.936776
0.037259,1.841919,24.482947
0.037509,1.847984,24.027607
0.037759,1.853936,23.570784
0.03801,1.859773,23.112507
0.03826,1.865495,22.652803
0.03851,1.871102,22.191701
0.03876,1.876593,21.72923
0.03901,1.881969,21.265418
0.03926,1.887229,20.800293
0.03951,1.892372,20.333884
0.03976,1.897398,19.866221
0.04001,1.902307,19.397332
0.04026,1.907099,18.927245
