t_s,x_true_90.0Hz,x_apparent_10.0Hz
0.0,0.0,0.0
0.00025,0.140971,0.015715
0.0005,0.279127,0.031426
0.00075,0.411708,0.04713
0.001001,0.536066,0.062822
0.001251,0.649717,0.078498
0.001501,0.750392,0.094155
0.001751,0.836079,0.109789
0.002001,0.905068,0.125396
0.002251,0.95598,0.140971
0.002501,0.987799,0.156512
0.002751,0.999889,0.172014
0.003002,0.992008,0.187474
0.003252,0.964314,0.202887
0.003502,0.917361,0.218251
0.003752,0.852085,0.23356
0.004002,0.769791,0.248812
0.004252,0.672123,0.264002
0.004502,0.56103,0.279127
0.004752,0.438732,0.294183
0.005003,0.307671,0.309166
0.005253,0.170466,0.324074
0.005503,0.029856,0.338901
0.005753,-0.111351,0.353644
0.006003,-0.250334,0.3683
0.006253,-0.384316,0.382865
0.006503,-0.510623,0.397335
0.006753,-0.626732,0.411708
0.007004,-0.730323,0.425978
0.007254,-0.819327,0.440144
0.007504,-0.891968,0.454201
0.007754,-0.946793,0.468145
0.008004,-0.982709,0.481974
0.008254,-0.998997,0.495684
0.008504,-0.995333,0.509271
0.008754,-0.971789,0.522733
0.009005,-0.928836,0.536066
0.009255,-0.867332,0.549266
0.009505,-0.788505,0.56233
0.009755,-0.693929,0.575256
0.010005,-0.585494,0.58804
0.010255,-0.465365,0.600678
0.010505,-0.335942,0.613168
0.010755,-0.199809,0.625506
0.011006,-0.059685,0.63769
0.011256,0.081631,0.649717
0.011506,0.221317,0.661583
0.011756,0.356582,0.673286
0.012006,0.484726,0.684822
0.012256,0.603188,0.696189
0.012506,0.709603,0.707385
0.012756,0.801845,0.718405
0.013007,0.878072,0.729248
0.013257,0.936762,0.739911
0.013507,0.976743,0.750392
0.013757,0.997215,0.760687
0.014007,0.99777,0.770794
0.014257,0.978397,0.78071
0.014507,0.939483,0.790434
0.014757,0.881805,0.799963
0.015008,0.806516,0.809294
0.015258,0.715117,0.818425
0.015508,0.609437,0.827354
0.015758,0.491584,0.836079
0.016008,0.363912,0.844597
0.016258,0.228973,0.852907
0.016508,0.08946,0.861006
0.016758,-0.051839,0.868892
0.017009,-0.192103,0.876564
0.017259,-0.32853,0.884019
0.017509,-0.458396,0.891256
0.017759,-0.579106,0.898273
0.018009,-0.68825,0.905068
0.018259,-0.783648,0.911639
0.018509,-0.863394,0.917985
0.018759,-0.925896,0.924105
0.01901,-0.969906,0.929996
0.01926,-0.994544,0.935658
0.01951,-0.999318,0.941088
0.01976,-0.984133,0.946286
0.02001,-0.949293,0.951251
0.02026,-0.895493,0.95598
0.02051,-0.823807,0.960473
0.02076,-0.735668,0.964729
0.021011,-0.632835,0.968747
0.021261,-0.517364,0.972526
0.021511,-0.391559,0.976064
0.021761,-0.257933,0.979361
0.022011,-0.119156,0.982417
0.022261,0.022,0.985229
0.022511,0.162718,0.987799
0.022761,0.300185,0.990124
0.023012,0.431657,0.992205
0.023262,0.554508,0.994041
0.023512,0.666284,0.995631
0.023762,0.764752,0.996976
0.024012,0.847946,0.998074
0.024262,0.914205,0.998925
0.024512,0.962204,0.99953
0.024762,0.990986,0.999889
0.025013,0.999975,1.0
0.025263,0.988992,0.999864
0.025513,0.958256,0.999481
0.025763,0.908382,0.998851
0.026013,0.840364,0.997975
0.026263,0.755562,0.996852
0.026513,0.65567,0.995483
0.026763,0.542682,0.993868
0.027014,0.418856,0.992008
0.027264,0.286664,0.989903
0.027514,0.148746,0.987553
0.027764,0.007858,0.984959
0.028014,-0.133188,0.982122
0.028264,-0.271573,0.979042
0.028514,-0.404534,0.975721
0.028764,-0.529416,0.972159
0.029015,-0.643723,0.968356
0.029265,-0.745174,0.964314
0.029515,-0.831742,0.960035
0.029765,-0.901698,0.955518
0.030015,-0.953645,0.950765
0.030265,-0.986544,0.945777
0.030515,-0.99974,0.940556
0.030765,-0.992969,0.935102
0.031016,-0.966365,0.929417
0.031266,-0.92046,0.923503
0.031516,-0.856172,0.917361
0.031766,-0.774783,0.910992
0.032016,-0.67792,0.904398
0.032266,-0.567517,0.897581
0.032516,-0.44578,0.890542
0.032766,-0.315139,0.883283
0.033017,-0.178203,0.875807
0.033267,-0.037709,0.868113
0.033517,0.103539,0.860206
0.033767,0.242718,0.852085
0.034017,0.37705,0.843755
0.034267,0.503851,0.835216
0.034517,0.620589,0.826471
0.034767,0.724932,0.817521
0.035018,0.814797,0.80837
0.035268,0.888388,0.799019
0.035518,0.944235,0.789471
0.035768,0.981224,0.779727
0.036018,0.998614,0.769791
0.036268,0.99606,0.759665
0.036518,0.973612,0.749352
0.036768,0.931719,0.738853
0.037019,0.871216,0.728172
0.037269,0.793313,0.717311
0.037519,0.699566,0.706273
0.037769,0.591846,0.69506
0.038019,0.472306,0.683676
0.038269,0.343333,0.672123
0.038519,0.207502,0.660404
0.038769,0.067527,0.648521
0.03902,-0.073797,0.636479
0.03927,-0.213647,0.624279
0.03952,-0.34923,0.611926
0.03977,-0.477838,0.599421
0.04002,-0.596902,0.586768
0.04027,-0.704044,0.57397
0.04052,-0.797125,0.56103
0.04077,-0.874285,0.547952
0.041021,-0.933983,0.534738
0.041271,-0.975028,0.521393
0.041521,-0.996598,0.507918
0.041771,-0.998264,0.494318
0.042021,-0.979992,0.480596
0.042271,-0.942146,0.466756
0.042521,-0.885484,0.4528
0.042771,-0.811136,0.438732
0.043022,-0.720588,0.424556
0.043272,-0.615648,0.410275
0.043522,-0.498411,0.395893
0.043772,-0.37122,0.381413
0.044022,-0.236615,0.366838
0.044272,-0.097284,0.352173
0.044522,0.04399,0.337422
0.044772,0.184386,0.322586
0.045023,0.321098,0.307671
0.045273,0.451398,0.292681
0.045523,0.572682,0.277617
0.045773,0.682528,0.262486
0.046023,0.778742,0.247289
0.046273,0.859403,0.232032
0.046523,0.922899,0.216717
0.046773,0.967963,0.201348
0.047024,0.993693,0.18593
0.047274,0.999577,0.170466
0.047524,0.985497,0.15496
0.047774,0.951734,0.139415
0.048024,0.898962,0.123836
0.048274,0.828236,0.108227
0.048524,0.740968,0.092591
0.048774,0.6389,0.076931
0.049025,0.524072,0.061253
0.049275,0.398777,0.04556
0.049525,0.265517,0.029856
0.049775,0.126955,0.014144
0.050025,-0.014144,-0.001572
0.050275,-0.15496,-0.017287
0.050525,-0.292681,-0.032997
0.050775,-0.424556,-0.0487
0.051026,-0.547952,-0.06439
0.051276,-0.660404,-0.080065
0.051526,-0.759665,-0.09572
0.051776,-0.843755,-0.111351
0.052026,-0.910992,-0.126955
0.052276,-0.960035,-0.142527
0.052526,-0.989903,-0.158064
0.052776,-1.0,-0.173562
0.053027,-0.990124,-0.189017
0.053277,-0.960473,-0.204426
0.053527,-0.911639,-0.219784
0.053777,-0.844597,-0.235088
0.054027,-0.760687,-0.250334
0.054277,-0.661583,-0.265517
0.054527,-0.549266,-0.280636
0.054777,-0.425978,-0.295685
0.055028,-0.294183,-0.310661
0.055278,-0.156512,-0.32556
0.055528,-0.015715,-0.340379
0.055778,0.125396,-0.355113
0.056028,0.264002,-0.369761
0.056278,0.397335,-0.384316
0.056528,0.522733,-0.398777
0.056778,0.63769,-0.413139
0.057029,0.739911,-0.4274
0.057279,0.827354,-0.441554
0.057529,0.898273,-0.4556
0.057779,0.951251,-0.469533
0.058029,0.985229,-0.48335
0.058279,0.99953,-0.497048
0.058529,0.993868,-0.510623
0.058779,0.968356,-0.524072
0.05903,0.923503,-0.537392
0.05928,0.860206,-0.550578
0.05953,0.779727,-0.563629
0.05978,0.683676,-0.576541
0.06003,0.57397,-0.58931
0.06028,0.4528,-0.601934
0.06053,0.322586,-0.614409
0.06078,0.18593,-0.626732
0.061031,0.04556,-0.6389
0.061281,-0.09572,-0.650911
0.061531,-0.235088,-0.662761
0.061781,-0.369761,-0.674447
0.062031,-0.497048,-0.685966
0.062281,-0.614409,-0.697317
0.062531,-0.719497,-0.708495
0.062781,-0.810216,-0.719497
0.063032,-0.884753,-0.730323
0.063282,-0.941618,-0.740968
0.063532,-0.979678,-0.751429
0.063782,-0.99817,-0.761706
0.064032,-0.996726,-0.771794
0.064282,-0.975376,-0.781691
0.064532,-0.934544,-0.791396
0.064782,-0.875047,-0.800905
0.065033,-0.798073,-0.810216
0.065283,-0.705159,-0.819327
0.065533,-0.598162,-0.828236
0.065783,-0.479218,-0.83694
0.066033,-0.350702,-0.845438
0.066283,-0.215182,-0.853726
0.066533,-0.075364,-0.861804
0.066783,0.065959,-0.869669
0.067034,0.205964,-0.877319
0.067284,0.341856,-0.884753
0.067534,0.47092,-0.891968
0.067784,0.590579,-0.898962
0.068034,0.698442,-0.905735
0.068284,0.792356,-0.912284
0.068534,0.870444,-0.918608
0.068784,0.931147,-0.924704
0.069035,0.973253,-0.930573
0.069285,0.99592,-0.936211
0.069535,0.998696,-0.941618
0.069785,0.981525,-0.946793
0.070035,0.944751,-0.951734
0.070285,0.889108,-0.95644
0.070535,0.815707,-0.96091
0.070785,0.726014,-0.965142
0.071036,0.621821,-0.969136
0.071286,0.505208,-0.97289
0.071536,0.378505,-0.976405
0.071786,0.244242,-0.979678
0.072036,0.105102,-0.982709
0.072286,-0.036139,-0.985497
0.072536,-0.176657,-0.988042
0.072786,-0.313647,-0.990343
0.073037,-0.444372,-0.9924
0.073287,-0.566223,-0.994211
0.073537,-0.676764,-0.995777
0.073787,-0.773789,-0.997097
0.074037,-0.855359,-0.99817
0.074287,-0.919845,-0.998997
0.074537,-0.96596,-0.999577
0.074787,-0.992782,-0.999911
0.075038,-0.999775,-0.999997
0.075288,-0.9868,-0.999837
0.075538,-0.954116,-0.999429
0.075788,-0.902377,-0.998775
0.076038,-0.832614,-0.997874
0.076288,-0.746222,-0.996726
0.076538,-0.644925,-0.995333
0.076788,-0.530748,-0.993693
0.077039,-0.405971,-0.991808
0.077289,-0.273085,-0.989679
0.077539,-0.134745,-0.987304
0.077789,0.006286,-0.984686
0.078039,0.147192,-0.981825
0.078289,0.285158,-0.978721
0.078539,0.417428,-0.975376
0.078789,0.541362,-0.971789
0.07904,0.654483,-0.967963
0.07929,0.754532,-0.963897
0.07954,0.839511,-0.959594
0.07979,0.907723,-0.955053
0.08004,0.957806,-0.950276
0.08029,0.988758,-0.945265
0.08054,0.999963,-0.940021
0.08079,0.991195,-0.934544
0.081041,0.962631,-0.928836
0.081291,0.914841,-0.922899
0.081541,0.848778,-0.916734
0.081791,0.765764,-0.910343
0.082041,0.667455,-0.903727
0.082291,0.555815,-0.896887
0.082541,0.433074,-0.889826
0.082791,0.301684,-0.882546
0.083042,0.164268,-0.875047
0.083292,0.023572,-0.867332
