x_m,p_Pa
0.0,101325.0
0.0025,101324.979826
0.00501,101324.95966
0.00751,101324.939511
0.01001,101324.919386
0.01252,101324.899294
0.01502,101324.879243
0.01752,101324.859241
0.02003,101324.839297
0.02253,101324.819418
0.02503,101324.799612
0.02753,101324.779888
0.03004,101324.760254
0.03254,101324.740717
0.03504,101324.721286
0.03755,101324.701968
0.04005,101324.682771
0.04255,101324.663704
0.04506,101324.644773
0.04756,101324.625987
0.05006,101324.607353
0.05257,101324.58888
0.05507,101324.570573
0.05757,101324.552441
0.06008,101324.534492
0.06258,101324.516731
0.06508,101324.499168
0.06758,101324.481808
0.07009,101324.46466
0.07259,101324.447729
0.07509,101324.431023
0.0776,101324.414549
0.0801,101324.398313
0.0826,101324.382321
0.08511,101324.366582
0.08761,101324.3511
0.09011,101324.335882
0.09262,101324.320934
0.09512,101324.306263
0.09762,101324.291875
0.10013,101324.277774
0.10263,101324.263968
0.10513,101324.250461
0.10763,101324.237259
0.11014,101324.224368
0.11264,101324.211792
0.11514,101324.199537
0.11765,101324.187608
0.12015,101324.17601
0.12265,101324.164747
0.12516,101324.153824
0.12766,101324.143245
0.13016,101324.133015
0.13267,101324.123138
0.13517,101324.113618
0.13767,101324.104459
0.14018,101324.095664
0.14268,101324.087238
0.14518,101324.079182
0.14768,101324.071502
0.15019,101324.0642
0.15269,101324.057278
0.15519,101324.05074
0.1577,101324.044589
0.1602,101324.038826
0.1627,101324.033455
0.16521,101324.028477
0.16771,101324.023895
0.17021,101324.01971
0.17272,101324.015924
0.17522,101324.012538
0.17772,101324.009554
0.18023,101324.006974
0.18273,101324.004798
0.18523,101324.003026
0.18773,101324.001661
0.19024,101324.000702
0.19274,101324.00015
0.19524,101324.000004
0.19775,101324.000266
0.20025,101324.000934
0.20275,101324.00201
0.20526,101324.003491
0.20776,101324.005378
0.21026,101324.00767
0.21277,101324.010366
0.21527,101324.013465
0.21777,101324.016965
0.22028,101324.020865
0.22278,101324.025164
0.22528,101324.02986
0.22778,101324.03495
0.23029,101324.040434
0.23279,101324.046307
0.23529,101324.05257
0.2378,101324.059217
0.2403,101324.066248
0.2428,101324.073659
0.24531,101324.081446
0.24781,101324.089608
0.25031,101324.09814
0.25282,101324.10704
0.25532,101324.116302
0.25782,101324.125925
0.26033,101324.135903
0.26283,101324.146233
0.26533,101324.15691
0.26783,101324.167931
0.27034,101324.17929
0.27284,101324.190984
0.27534,101324.203006
0.27785,101324.215353
0.28035,101324.22802
0.28285,101324.241
0.28536,101324.25429
0.28786,101324.267883
0.29036,101324.281774
0.29287,101324.295958
0.29537,101324.310428
0.29787,101324.325178
0.30038,101324.340204
0.30288,101324.355498
0.30538,101324.371054
0.30788,101324.386866
0.31039,101324.402928
0.31289,101324.419233
0.31539,101324.435774
0.3179,101324.452545
0.3204,101324.469539
0.3229,101324.486748
0.32541,101324.504167
0.32791,101324.521787
0.33041,101324.539602
0.33292,101324.557605
0.33542,101324.575787
0.33792,101324.594143
0.34043,101324.612663
0.34293,101324.631341
0.34543,101324.650169
0.34793,101324.669139
0.35044,101324.688245
0.35294,101324.707477
0.35544,101324.726828
0.35795,101324.74629
0.36045,101324.765856
0.36295,101324.785516
0.36546,101324.805265
0.36796,101324.825092
0.37046,101324.844991
0.37297,101324.864952
0.37547,101324.884969
0.37797,101324.905032
0.38048,101324.925135
0.38298,101324.945267
0.38548,101324.965422
0.38798,101324.985591
0.39049,101325.005766
0.39299,101325.025938
0.39549,101325.0461
0.398,101325.066244
0.4005,101325.08636
0.403,101325.106441
0.40551,101325.126479
0.40801,101325.146465
0.41051,101325.166392
0.41302,101325.18625
0.41552,101325.206034
0.41802,101325.225733
0.42053,101325.24534
0.42303,101325.264848
0.42553,101325.284247
0.42804,101325.303531
0.43054,101325.322692
0.43304,101325.341721
0.43554,101325.360611
0.43805,101325.379354
0.44055,101325.397943
0.44305,101325.41637
0.44556,101325.434627
0.44806,101325.452708
0.45056,101325.470604
0.45307,101325.488309
0.45557,101325.505814
0.45807,101325.523114
0.46058,101325.540202
0.46308,101325.557069
0.46558,101325.573709
0.46809,101325.590116
0.47059,101325.606283
0.47309,101325.622203
0.47559,101325.63787
0.4781,101325.653277
0.4806,101325.668418
0.4831,101325.683287
0.48561,101325.697878
0.48811,101325.712185
0.49061,101325.726202
0.49312,101325.739923
0.49562,101325.753344
0.49812,101325.766457
0.50063,101325.779259
0.50313,101325.791744
0.50563,101325.803906
0.50814,101325.815741
0.51064,101325.827244
0.51314,101325.83841
0.51564,101325.849235
0.51815,101325.859714
0.52065,101325.869844
0.52315,101325.879619
0.52566,101325.889036
0.52816,101325.898092
0.53066,101325.906782
0.53317,101325.915103
0.53567,101325.923051
0.53817,101325.930624
0.54068,101325.937817
0.54318,101325.94463
0.54568,101325.951057
0.54819,101325.957098
0.55069,101325.962749
0.55319,101325.968008
0.55569,101325.972873
0.5582,101325.977342
0.5607,101325.981413
0.5632,101325.985085
0.56571,101325.988356
0.56821,101325.991224
0.57071,101325.993689
0.57322,101325.99575
0.57572,101325.997405
0.57822,101325.998655
0.58073,101325.999498
0.58323,101325.999934
0.58573,101325.999963
0.58824,101325.999585
0.59074,101325.9988
0.59324,101325.997608
0.59574,101325.996011
0.59825,101325.994008
0.60075,101325.991601
0.60325,101325.988789
0.60576,101325.985576
0.60826,101325.981961
0.61076,101325.977947
0.61327,101325.973534
0.61577,101325.968726
0.61827,101325.963523
0.62078,101325.957928
0.62328,101325.951942
0.62578,101325.94557
0.62829,101325.938812
0.63079,101325.931673
0.63329,101325.924154
0.63579,101325.916259
0.6383,101325.907991
0.6408,101325.899354
0.6433,101325.89035
0.64581,101325.880984
0.64831,101325.87126
0.65081,101325.86118
0.65332,101325.850751
0.65582,101325.839975
0.65832,101325.828857
0.66083,101325.817402
0.66333,101325.805614
0.66583,101325.793498
0.66834,101325.781059
0.67084,101325.768302
0.67334,101325.755233
0.67584,101325.741856
0.67835,101325.728177
0.68085,101325.714202
0.68335,101325.699936
0.68586,101325.685385
0.68836,101325.670555
0.69086,101325.655452
0.69337,101325.640083
0.69587,101325.624453
0.69837,101325.608569
0.70088,101325.592437
0.70338,101325.576063
0.70588,101325.559456
0.70839,101325.542621
0.71089,101325.525564
0.71339,101325.508294
0.71589,101325.490817
0.7184,101325.473141
0.7209,101325.455271
0.7234,101325.437217
0.72591,101325.418984
0.72841,101325.400581
0.73091,101325.382015
0.73342,101325.363293
0.73592,101325.344424
0.73842,101325.325414
0.74093,101325.306272
0.74343,101325.287005
0.74593,101325.267621
0.74844,101325.248128
0.75094,101325.228535
0.75344,101325.208848
0.75594,101325.189077
0.75845,101325.169228
0.76095,101325.149311
0.76345,101325.129332
0.76596,101325.109301
0.76846,101325.089226
0.77096,101325.069114
0.77347,101325.048974
0.77597,101325.028815
0.77847,101325.008643
0.78098,101324.988468
0.78348,101324.968298
0.78598,101324.94814
0.78849,101324.928004
0.79099,101324.907897
0.79349,101324.887828
0.79599,101324.867804
0.7985,101324.847834
0.801,101324.827926
0.8035,101324.808088
0.80601,101324.788328
0.80851,101324.768654
0.81101,101324.749074
0.81352,101324.729597
0.81602,101324.710229
0.81852,101324.69098
0.82103,101324.671856
0.82353,101324.652866
0.82603,101324.634017
0.82854,101324.615317
0.83104,101324.596774
0.83354,101324.578395
0.83605,101324.560187
0.83855,101324.542159
0.84105,101324.524316
0.84355,101324.506668
