f_Hz,H_cat,H_dog
100.0,1.010083,1.009996
102.45,1.010589,1.010497
104.9,1.011107,1.011011
107.35,1.011639,1.011537
109.8,1.012183,1.012077
112.26,1.01274,1.012629
114.71,1.01331,1.013194
117.16,1.013892,1.013771
119.61,1.014488,1.014362
122.06,1.015097,1.014965
124.51,1.015719,1.015582
126.96,1.016355,1.016211
129.41,1.017003,1.016854
131.87,1.017665,1.017509
134.32,1.01834,1.018178
136.77,1.019028,1.01886
139.22,1.01973,1.019556
141.67,1.020445,1.020264
144.12,1.021173,1.020986
146.57,1.021916,1.021722
149.02,1.022672,1.02247
151.48,1.023441,1.023233
153.93,1.024224,1.024009
156.38,1.025022,1.024798
158.83,1.025833,1.025602
161.28,1.026657,1.026419
163.73,1.027496,1.02725
166.18,1.028349,1.028095
168.63,1.029216,1.028954
171.09,1.030097,1.029826
173.54,1.030993,1.030713
175.99,1.031903,1.031615
178.44,1.032827,1.03253
180.89,1.033766,1.03346
183.34,1.034719,1.034404
185.79,1.035687,1.035362
188.24,1.036669,1.036335
190.7,1.037667,1.037323
193.15,1.038679,1.038325
195.6,1.039706,1.039342
198.05,1.040748,1.040374
200.5,1.041805,1.04142
202.95,1.042878,1.042482
205.4,1.043966,1.043559
207.85,1.045069,1.044651
210.31,1.046187,1.045758
212.76,1.047321,1.046881
215.21,1.048471,1.048019
217.66,1.049637,1.049173
220.11,1.050818,1.050342
222.56,1.052015,1.051527
225.01,1.053228,1.052728
227.46,1.054458,1.053944
229.91,1.055703,1.055177
232.37,1.056965,1.056426
234.82,1.058244,1.057691
237.27,1.059539,1.058972
239.72,1.060851,1.06027
242.17,1.062179,1.061584
244.62,1.063524,1.062915
247.07,1.064887,1.064262
249.52,1.066266,1.065627
251.98,1.067663,1.067009
254.43,1.069077,1.068407
256.88,1.070508,1.069823
259.33,1.071957,1.071256
261.78,1.073424,1.072707
264.23,1.074909,1.074175
266.68,1.076412,1.075661
269.13,1.077933,1.077165
271.59,1.079472,1.078687
274.04,1.081029,1.080226
276.49,1.082606,1.081785
278.94,1.0842,1.083361
281.39,1.085814,1.084956
283.84,1.087447,1.08657
286.29,1.089098,1.088202
288.74,1.090769,1.089854
291.2,1.09246,1.091524
293.65,1.09417,1.093214
296.1,1.0959,1.094923
298.55,1.09765,1.096652
301.0,1.099419,1.0984
303.45,1.101209,1.100169
305.9,1.10302,1.101957
308.35,1.104851,1.103766
310.81,1.106703,1.105595
313.26,1.108576,1.107444
315.71,1.110469,1.109315
318.16,1.112385,1.111206
320.61,1.114321,1.113118
323.06,1.11628,1.115052
325.51,1.11826,1.117006
327.96,1.120262,1.118983
330.42,1.122287,1.120981
332.87,1.124334,1.123002
335.32,1.126404,1.125044
337.77,1.128496,1.127109
340.22,1.130612,1.129197
342.67,1.132751,1.131308
345.12,1.134914,1.133441
347.57,1.1371,1.135598
350.03,1.13931,1.137778
352.48,1.141545,1.139982
354.93,1.143804,1.14221
357.38,1.146087,1.144462
359.83,1.148396,1.146738
362.28,1.15073,1.149039
364.73,1.153089,1.151365
367.18,1.155474,1.153715
369.63,1.157885,1.156092
372.09,1.160322,1.158493
374.54,1.162785,1.160921
376.99,1.165275,1.163374
379.44,1.167793,1.165854
381.89,1.170337,1.168361
384.34,1.172909,1.170895
386.79,1.175509,1.173455
389.24,1.178137,1.176043
391.7,1.180794,1.178659
394.15,1.183479,1.181303
396.6,1.186194,1.183975
399.05,1.188938,1.186676
401.5,1.191711,1.189406
403.95,1.194515,1.192165
406.4,1.197349,1.194953
408.85,1.200213,1.197772
411.31,1.203109,1.20062
413.76,1.206036,1.203499
416.21,1.208995,1.206409
418.66,1.211986,1.20935
421.11,1.21501,1.212323
423.56,1.218066,1.215328
426.01,1.221156,1.218365
428.46,1.224279,1.221434
430.92,1.227436,1.224537
433.37,1.230628,1.227673
435.82,1.233855,1.230842
438.27,1.237116,1.234046
440.72,1.240414,1.237284
443.17,1.243748,1.240558
445.62,1.247118,1.243867
448.07,1.250525,1.247211
450.53,1.25397,1.250592
452.98,1.257452,1.254009
455.43,1.260973,1.257464
457.88,1.264533,1.260956
460.33,1.268132,1.264486
462.78,1.271772,1.268055
465.23,1.275451,1.271662
467.68,1.279171,1.275309
470.14,1.282933,1.278996
472.59,1.286737,1.282724
475.04,1.290583,1.286492
477.49,1.294473,1.290302
479.94,1.298406,1.294154
482.39,1.302383,1.298049
484.84,1.306405,1.301986
487.29,1.310473,1.305967
489.74,1.314586,1.309993
492.2,1.318746,1.314063
494.65,1.322954,1.318179
497.1,1.327209,1.322341
499.55,1.331513,1.326549
502.0,1.335867,1.330805
504.45,1.34027,1.335108
506.9,1.344724,1.339461
509.35,1.34923,1.343862
511.81,1.353787,1.348313
514.26,1.358398,1.352815
516.71,1.363062,1.357368
519.16,1.367781,1.361973
521.61,1.372554,1.366631
524.06,1.377384,1.371343
526.51,1.382271,1.376108
528.96,1.387216,1.380929
531.42,1.392219,1.385806
533.87,1.397281,1.390739
536.32,1.402404,1.39573
538.77,1.407589,1.400779
541.22,1.412835,1.405887
543.67,1.418145,1.411055
546.12,1.423519,1.416284
548.57,1.428958,1.421575
551.03,1.434463,1.426929
553.48,1.440036,1.432346
555.93,1.445677,1.437828
558.38,1.451387,1.443376
560.83,1.457168,1.448991
563.28,1.463021,1.454673
565.73,1.468946,1.460424
568.18,1.474946,1.466245
570.64,1.48102,1.472137
573.09,1.487172,1.478101
575.54,1.493401,1.484139
577.99,1.499709,1.49025
580.44,1.506098,1.496438
582.89,1.512568,1.502702
585.34,1.519122,1.509044
587.79,1.52576,1.515466
590.25,1.532485,1.521969
592.7,1.539297,1.528553
595.15,1.546198,1.535221
597.6,1.55319,1.541974
600.05,1.560275,1.548813
602.5,1.567454,1.55574
604.95,1.574728,1.562756
607.4,1.5821,1.569863
609.85,1.589571,1.577062
612.31,1.597143,1.584355
614.76,1.604818,1.591743
617.21,1.612598,1.599229
619.66,1.620485,1.606814
622.11,1.628481,1.6145
624.56,1.636588,1.622288
627.01,1.644808,1.63018
629.46,1.653143,1.638179
631.92,1.661595,1.646286
634.37,1.670168,1.654504
636.82,1.678862,1.662833
639.27,1.687682,1.671277
641.72,1.696628,1.679838
644.17,1.705704,1.688517
646.62,1.714912,1.697317
649.07,1.724256,1.706241
651.53,1.733737,1.71529
653.98,1.743358,1.724467
656.43,1.753124,1.733774
658.88,1.763035,1.743215
661.33,1.773097,1.752791
663.78,1.783311,1.762506
666.23,1.793682,1.772362
668.68,1.804212,1.782362
671.14,1.814904,1.792508
673.59,1.825764,1.802805
676.04,1.836794,1.813254
678.49,1.847998,1.82386
680.94,1.85938,1.834624
683.39,1.870944,1.845552
685.84,1.882694,1.856645
688.29,1.894634,1.867907
690.75,1.90677,1.879343
693.2,1.919104,1.890956
695.65,1.931643,1.902749
698.1,1.944391,1.914726
700.55,1.957353,1.926892
