t_ms,u_cat_D0.029,u_dog_D0.071
0.0,0.0,0.0
0.0025,0.000123,0.000123
0.005,0.000494,0.000493
0.0075,0.00111,0.001109
0.01001,0.001973,0.001969
0.01251,0.003081,0.003074
0.01501,0.004434,0.004423
0.01751,0.006032,0.006014
0.02001,0.007874,0.007846
0.02251,0.009959,0.009919
0.02501,0.012286,0.012232
0.02751,0.014855,0.014784
0.03002,0.017665,0.017572
0.03252,0.020715,0.020597
0.03502,0.024004,0.023857
0.03752,0.02753,0.02735
0.04002,0.031294,0.031075
0.04252,0.035293,0.035031
0.04502,0.039527,0.039216
0.04752,0.043993,0.043629
0.05003,0.048692,0.048268
0.05253,0.053621,0.053131
0.05503,0.058779,0.058217
0.05753,0.064165,0.063524
0.06003,0.069777,0.06905
0.06253,0.075614,0.074794
0.06503,0.081673,0.080752
0.06753,0.087953,0.086924
0.07004,0.094453,0.093308
0.07254,0.10117,0.099901
0.07504,0.108103,0.106701
0.07754,0.115249,0.113706
0.08004,0.122608,0.120914
0.08254,0.130176,0.128323
0.08504,0.137952,0.135931
0.08754,0.145934,0.143734
0.09005,0.154119,0.151731
0.09255,0.162505,0.15992
0.09505,0.17109,0.168297
0.09755,0.179872,0.176861
0.10005,0.188849,0.185609
0.10255,0.198017,0.194538
0.10505,0.207375,0.203645
0.10755,0.21692,0.212929
0.11006,0.226649,0.222386
0.11256,0.23656,0.232014
0.11506,0.246651,0.24181
0.11756,0.256918,0.25177
0.12006,0.267359,0.261893
0.12256,0.277972,0.272176
0.12506,0.288753,0.282614
0.12756,0.299699,0.293207
0.13007,0.310808,0.30395
0.13257,0.322078,0.31484
0.13507,0.333504,0.325876
0.13757,0.345084,0.337052
0.14007,0.356815,0.348368
0.14257,0.368694,0.359818
0.14507,0.380718,0.371401
0.14757,0.392883,0.383113
0.15008,0.405187,0.394951
0.15258,0.417627,0.406912
0.15508,0.430199,0.418992
0.15758,0.4429,0.431189
0.16008,0.455727,0.443498
0.16258,0.468676,0.455917
0.16508,0.481745,0.468443
0.16758,0.494929,0.481071
0.17009,0.508226,0.493799
0.17259,0.521632,0.506624
0.17509,0.535144,0.519541
0.17759,0.548758,0.532548
0.18009,0.562471,0.545642
0.18259,0.576279,0.558818
0.18509,0.590179,0.572073
0.18759,0.604167,0.585404
0.1901,0.618241,0.598807
0.1926,0.632395,0.61228
0.1951,0.646627,0.625818
0.1976,0.660933,0.639417
0.2001,0.67531,0.653076
0.2026,0.689753,0.666789
0.2051,0.70426,0.680554
0.2076,0.718826,0.694366
0.21011,0.733449,0.708223
0.21261,0.748123,0.722121
0.21511,0.762846,0.736056
0.21761,0.777614,0.750026
0.22011,0.792424,0.764025
0.22261,0.807271,0.778051
0.22511,0.822152,0.792101
0.22761,0.837063,0.806171
0.23012,0.852,0.820256
0.23262,0.86696,0.834355
0.23512,0.881939,0.848462
0.23762,0.896934,0.862576
0.24012,0.91194,0.876692
0.24262,0.926954,0.890806
0.24512,0.941972,0.904916
0.24762,0.95699,0.919017
0.25013,0.972006,0.933107
0.25263,0.987014,0.947182
0.25513,1.002012,0.961238
0.25763,1.016995,0.975273
0.26013,1.03196,0.989282
0.26263,1.046904,1.003262
0.26513,1.061822,1.01721
0.26763,1.076711,1.031122
0.27014,1.091567,1.044996
0.27264,1.106388,1.058827
0.27514,1.121168,1.072613
0.27764,1.135904,1.08635
0.28014,1.150594,1.100035
0.28264,1.165232,1.113665
0.28514,1.179817,1.127236
0.28764,1.194343,1.140745
0.29015,1.208808,1.154189
0.29265,1.223208,1.167565
0.29515,1.23754,1.18087
0.29765,1.2518,1.1941
0.30015,1.265984,1.207252
0.30265,1.28009,1.220324
0.30515,1.294114,1.233312
0.30765,1.308052,1.246214
0.31016,1.321901,1.259026
0.31266,1.335657,1.271745
0.31516,1.349319,1.284369
0.31766,1.362881,1.296894
0.32016,1.376341,1.309318
0.32266,1.389696,1.321638
0.32516,1.402943,1.333851
0.32766,1.416077,1.345954
0.33017,1.429097,1.357944
0.33267,1.441999,1.36982
0.33517,1.45478,1.381577
0.33767,1.467436,1.393214
0.34017,1.479966,1.404728
0.34267,1.492366,1.416116
0.34517,1.504632,1.427376
0.34767,1.516763,1.438505
0.35018,1.528755,1.449502
0.35268,1.540605,1.460362
0.35518,1.552311,1.471085
