f_Hz,Z_cat_Ohm,Z_dog_Ohm,BP_cat,BP_dog
100.0,62.203535,62.203539,0.00016,0.000369
101.63,61.183177,61.183181,0.000163,0.000376
103.27,60.194782,60.194786,0.000165,0.000382
104.9,59.236856,59.23686,0.000168,0.000388
106.54,58.307998,58.308002,0.000171,0.000394
108.17,57.40689,57.406894,0.000173,0.0004
109.8,56.532293,56.532297,0.000176,0.000407
111.44,55.683042,55.683046,0.000179,0.000413
113.07,54.858038,54.858042,0.000181,0.000419
114.7,54.056244,54.056248,0.000184,0.000425
116.34,53.276683,53.276687,0.000187,0.000431
117.97,52.518431,52.518435,0.000189,0.000438
119.61,51.780614,51.780619,0.000192,0.000444
121.24,51.062407,51.062412,0.000195,0.00045
122.87,50.363027,50.363032,0.000197,0.000456
124.51,49.681734,49.681738,0.0002,0.000463
126.14,49.017823,49.017827,0.000203,0.000469
127.78,48.370629,48.370633,0.000206,0.000475
129.41,47.739517,47.739522,0.000208,0.000481
131.04,47.123888,47.123893,0.000211,0.000488
132.68,46.523168,46.523173,0.000214,0.000494
134.31,45.936814,45.936819,0.000216,0.0005
135.95,45.364308,45.364312,0.000219,0.000507
137.58,44.805155,44.80516,0.000222,0.000513
139.21,44.258887,44.258892,0.000225,0.000519
140.85,43.725054,43.725059,0.000227,0.000526
142.48,43.203229,43.203234,0.00023,0.000532
144.11,42.693004,42.693009,0.000233,0.000538
145.75,42.193988,42.193993,0.000236,0.000545
147.38,41.705809,41.705814,0.000238,0.000551
149.02,41.228109,41.228114,0.000241,0.000557
150.65,40.760549,40.760554,0.000244,0.000564
152.28,40.302801,40.302807,0.000247,0.00057
153.92,39.854554,39.854559,0.00025,0.000577
155.55,39.415508,39.415513,0.000252,0.000583
157.19,38.985375,38.985381,0.000255,0.00059
158.82,38.563882,38.563887,0.000258,0.000596
160.45,38.150763,38.150769,0.000261,0.000602
162.09,37.745766,37.745772,0.000263,0.000609
163.72,37.348648,37.348654,0.000266,0.000615
165.36,36.959174,36.95918,0.000269,0.000622
166.99,36.577122,36.577128,0.000272,0.000628
168.62,36.202274,36.20228,0.000275,0.000635
170.26,35.834423,35.834429,0.000277,0.000641
171.89,35.473371,35.473377,0.00028,0.000648
173.52,35.118924,35.11893,0.000283,0.000654
175.16,34.770899,34.770905,0.000286,0.000661
176.79,34.429116,34.429122,0.000289,0.000668
178.43,34.093405,34.093411,0.000292,0.000674
180.06,33.7636,33.763607,0.000295,0.000681
181.69,33.439542,33.439549,0.000297,0.000687
183.33,33.121078,33.121084,0.0003,0.000694
184.96,32.808058,32.808065,0.000303,0.000701
186.6,32.50034,32.500347,0.000306,0.000707
188.23,32.197787,32.197793,0.000309,0.000714
189.86,31.900263,31.90027,0.000312,0.00072
191.5,31.607642,31.607649,0.000315,0.000727
193.13,31.319798,31.319805,0.000317,0.000734
194.76,31.036611,31.036618,0.00032,0.00074
196.4,30.757965,30.757972,0.000323,0.000747
198.03,30.483748,30.483755,0.000326,0.000754
199.67,30.213851,30.213858,0.000329,0.000761
201.3,29.948168,29.948175,0.000332,0.000767
202.93,29.686598,29.686605,0.000335,0.000774
204.57,29.429043,29.42905,0.000338,0.000781
206.2,29.175406,29.175413,0.000341,0.000788
207.84,28.925596,28.925603,0.000344,0.000795
209.47,28.679522,28.67953,0.000347,0.000801
211.1,28.437099,28.437107,0.00035,0.000808
212.74,28.198242,28.19825,0.000353,0.000815
214.37,27.96287,27.962877,0.000356,0.000822
216.01,27.730902,27.73091,0.000359,0.000829
217.64,27.502264,27.502272,0.000362,0.000836
219.27,27.27688,27.276888,0.000365,0.000843
220.91,27.054678,27.054686,0.000368,0.000849
222.54,26.835588,26.835596,0.000371,0.000856
224.17,26.619542,26.61955,0.000374,0.000863
225.81,26.406474,26.406482,0.000377,0.00087
227.44,26.19632,26.196328,0.00038,0.000877
229.08,25.989017,25.989025,0.000383,0.000884
230.71,25.784505,25.784513,0.000386,0.000891
232.34,25.582725,25.582733,0.000389,0.000898
233.98,25.383619,25.383628,0.000392,0.000905
235.61,25.187133,25.187142,0.000395,0.000912
237.25,24.993212,24.99322,0.000398,0.00092
238.88,24.801803,24.801811,0.000401,0.000927
240.51,24.612855,24.612863,0.000404,0.000934
242.15,24.426318,24.426327,0.000407,0.000941
243.78,24.242144,24.242153,0.00041,0.000948
245.42,24.060286,24.060295,0.000413,0.000955
247.05,23.880697,23.880706,0.000416,0.000962
248.68,23.703334,23.703343,0.00042,0.00097
250.32,23.528151,23.52816,0.000423,0.000977
251.95,23.355108,23.355117,0.000426,0.000984
253.58,23.184162,23.184172,0.000429,0.000991
255.22,23.015274,23.015283,0.000432,0.000999
256.85,22.848403,22.848413,0.000435,0.001006
258.49,22.683513,22.683522,0.000438,0.001013
260.12,22.520565,22.520574,0.000442,0.00102
261.75,22.359523,22.359532,0.000445,0.001028
263.39,22.200351,22.200361,0.000448,0.001035
265.02,22.043016,22.043026,0.000451,0.001043
266.66,21.887483,21.887493,0.000454,0.00105
268.29,21.733719,21.733729,0.000458,0.001057
269.92,21.581692,21.581702,0.000461,0.001065
271.56,21.431372,21.431382,0.000464,0.001072
273.19,21.282726,21.282736,0.000467,0.00108
274.82,21.135726,21.135736,0.00047,0.001087
276.46,20.990342,20.990353,0.000474,0.001095
278.09,20.846546,20.846557,0.000477,0.001102
279.73,20.70431,20.70432,0.00048,0.00111
