t_ms,V_mV,m,h,n
0.0,0.0,0.05293,0.59612,0.31768
0.01,0.0,0.05293,0.59612,0.31768
0.02,0.0001,0.05293,0.59612,0.31768
0.03,0.0001,0.05293,0.59612,0.31768
0.04,0.0002,0.05293,0.59612,0.31768
0.05,0.0002,0.05293,0.59612,0.31768
0.06,0.0002,0.05293,0.59612,0.31768
0.07,0.0003,0.05293,0.59612,0.31768
0.08,0.0003,0.05293,0.59612,0.31768
0.09,0.0004,0.05293,0.59612,0.31768
0.1,0.0004,0.05293,0.59612,0.31768
0.11,0.0005,0.05293,0.59612,0.31768
0.12,0.0005,0.05293,0.59612,0.31768
0.13,0.0005,0.05293,0.59612,0.31768
0.14,0.0006,0.05293,0.59612,0.31768
0.15,0.0006,0.05293,0.59612,0.31768
0.16,0.0006,0.05293,0.59612,0.31768
0.17,0.0007,0.05293,0.59612,0.31768
0.18,0.0007,0.05293,0.59612,0.31768
0.19,0.0008,0.05293,0.59612,0.31768
0.2,0.0008,0.05293,0.59612,0.31768
0.21,0.0008,0.05293,0.59612,0.31768
0.22,0.0009,0.05293,0.59612,0.31768
0.23,0.0009,0.05293,0.59612,0.31768
0.24,0.0009,0.05293,0.59612,0.31768
0.25,0.001,0.05293,0.59612,0.31768
0.26,0.001,0.05293,0.59612,0.31768
0.27,0.0011,0.05294,0.59612,0.31768
0.28,0.0011,0.05294,0.59612,0.31768
0.29,0.0011,0.05294,0.59612,0.31768
0.3,0.0012,0.05294,0.59612,0.31768
0.31,0.0012,0.05294,0.59612,0.31768
0.32,0.0012,0.05294,0.59612,0.31768
0.33,0.0013,0.05294,0.59612,0.31768
0.34,0.0013,0.05294,0.59612,0.31768
0.35,0.0013,0.05294,0.59612,0.31768
0.36,0.0014,0.05294,0.59612,0.31768
0.37,0.0014,0.05294,0.59612,0.31768
0.38,0.0015,0.05294,0.59612,0.31768
0.39,0.0015,0.05294,0.59612,0.31768
0.4,0.0015,0.05294,0.59612,0.31768
0.41,0.0016,0.05294,0.59612,0.31768
0.42,0.0016,0.05294,0.59612,0.31768
0.43,0.0016,0.05294,0.59612,0.31768
0.44,0.0017,0.05294,0.59612,0.31768
0.45,0.0017,0.05294,0.59612,0.31768
0.46,0.0017,0.05294,0.59612,0.31768
0.47,0.0018,0.05294,0.59612,0.31768
0.48,0.0018,0.05294,0.59612,0.31768
0.49,0.0018,0.05294,0.59612,0.31768
0.5,0.0019,0.05294,0.59612,0.31768
0.51,0.0019,0.05294,0.59612,0.31768
0.52,0.0019,0.05294,0.59612,0.31768
0.53,0.002,0.05294,0.59612,0.31768
0.54,0.002,0.05294,0.59612,0.31768
0.55,0.002,0.05294,0.59612,0.31768
0.56,0.0021,0.05294,0.59612,0.31768
0.57,0.0021,0.05294,0.59612,0.31768
0.58,0.0021,0.05294,0.59612,0.31768
0.59,0.0022,0.05294,0.59612,0.31768
0.6,0.0022,0.05294,0.59612,0.31768
0.61,0.0022,0.05294,0.59612,0.31768
0.62,0.0023,0.05294,0.59612,0.31768
0.63,0.0023,0.05294,0.59612,0.31768
0.64,0.0023,0.05294,0.59612,0.31768
0.65,0.0024,0.05294,0.59612,0.31768
0.66,0.0024,0.05294,0.59612,0.31768
0.67,0.0024,0.05294,0.59612,0.31768
0.68,0.0025,0.05294,0.59612,0.31768
