x_cat_mm,f_cat_Hz,x_dog_mm,f_dog_Hz
0.0,200.0,0.0,150.0
0.05,202.44,0.064,151.84
0.1,204.91,0.128,153.69
0.15,207.41,0.192,155.58
0.2,209.94,0.257,157.48
0.251,212.5,0.321,159.41
0.301,215.1,0.385,161.36
0.351,217.72,0.449,163.34
0.401,220.38,0.513,165.34
0.451,223.07,0.577,167.36
0.501,225.79,0.641,169.41
0.551,228.54,0.705,171.48
0.601,231.33,0.77,173.58
0.651,234.16,0.834,175.71
0.701,237.01,0.898,177.86
0.752,239.91,0.962,180.03
0.802,242.83,1.026,182.24
0.852,245.8,1.09,184.47
0.902,248.79,1.154,186.73
0.952,251.83,1.218,189.01
1.002,254.9,1.283,191.33
1.052,258.01,1.347,193.67
1.102,261.16,1.411,196.04
1.152,264.35,1.475,198.44
1.202,267.57,1.539,200.87
1.253,270.84,1.603,203.33
1.303,274.14,1.667,205.82
1.353,277.49,1.731,208.34
1.403,280.88,1.796,210.89
1.453,284.3,1.86,213.47
1.503,287.77,1.924,216.08
1.553,291.28,1.988,218.73
1.603,294.84,2.052,221.4
1.653,298.44,2.116,224.11
1.703,302.08,2.18,226.86
1.754,305.76,2.244,229.64
1.804,309.49,2.309,232.45
1.854,313.27,2.373,235.29
1.904,317.09,2.437,238.17
1.954,320.96,2.501,241.09
2.004,324.88,2.565,244.04
2.054,328.84,2.629,247.03
2.104,332.86,2.693,250.05
2.154,336.92,2.758,253.11
2.204,341.03,2.822,256.21
2.255,345.19,2.886,259.35
2.305,349.4,2.95,262.52
2.355,353.67,3.014,265.74
2.405,357.98,3.078,268.99
2.455,362.35,3.142,272.28
2.505,366.77,3.206,275.61
2.555,371.25,3.271,278.99
2.605,375.78,3.335,282.4
2.655,380.36,3.399,285.86
2.705,385.0,3.463,289.36
2.756,389.7,3.527,292.9
2.806,394.46,3.591,296.49
2.856,399.27,3.655,300.12
2.906,404.14,3.719,303.79
2.956,409.07,3.784,307.51
3.006,414.07,3.848,311.27
3.056,419.12,3.912,315.09
3.106,424.23,3.976,318.94
3.156,429.41,4.04,322.85
3.206,434.65,4.104,326.8
3.257,439.95,4.168,330.8
3.307,445.32,4.232,334.85
3.357,450.75,4.297,338.95
3.407,456.25,4.361,343.1
3.457,461.82,4.425,347.3
3.507,467.46,4.489,351.55
3.557,473.16,4.553,355.85
3.607,478.93,4.617,360.21
3.657,484.78,4.681,364.62
3.707,490.69,4.745,369.08
3.758,496.68,4.81,373.6
3.808,502.74,4.874,378.17
