g_motor_norm,Q_active_cat,Q_active_dog
0.0,8.5,4.0
0.0019,8.5162,4.0076
0.0038,8.5325,4.0153
0.0057,8.5488,4.023
0.0076,8.5652,4.0307
0.0095,8.5817,4.0384
0.0114,8.5982,4.0462
0.0133,8.6148,4.054
0.0152,8.6315,4.0619
0.0171,8.6482,4.0697
0.019,8.665,4.0776
0.0209,8.6818,4.0856
0.0228,8.6987,4.0935
0.0247,8.7157,4.1015
0.0267,8.7328,4.1095
0.0286,8.7499,4.1176
0.0305,8.7671,4.1257
0.0324,8.7843,4.1338
0.0343,8.8016,4.1419
0.0362,8.819,4.1501
0.0381,8.8365,4.1583
0.04,8.854,4.1666
0.0419,8.8716,4.1749
0.0438,8.8892,4.1832
0.0457,8.907,4.1915
0.0476,8.9248,4.1999
0.0495,8.9427,4.2083
0.0514,8.9606,4.2168
0.0533,8.9786,4.2252
0.0552,8.9967,4.2337
0.0571,9.0149,4.2423
0.059,9.0331,4.2509
0.0609,9.0514,4.2595
0.0628,9.0698,4.2681
0.0647,9.0883,4.2768
0.0666,9.1068,4.2856
0.0685,9.1254,4.2943
0.0704,9.1441,4.3031
0.0723,9.1629,4.3119
0.0742,9.1817,4.3208
0.0762,9.2007,4.3297
0.0781,9.2197,4.3387
0.08,9.2387,4.3476
0.0819,9.2579,4.3567
0.0838,9.2771,4.3657
0.0857,9.2964,4.3748
0.0876,9.3158,4.3839
0.0895,9.3353,4.3931
0.0914,9.3549,4.4023
0.0933,9.3745,4.4115
0.0952,9.3942,4.4208
0.0971,9.414,4.4301
0.099,9.4339,4.4395
0.1009,9.4539,4.4489
0.1028,9.474,4.4583
0.1047,9.4941,4.4678
0.1066,9.5144,4.4773
0.1085,9.5347,4.4869
0.1104,9.5551,4.4965
0.1123,9.5756,4.5062
0.1142,9.5962,4.5158
0.1161,9.6168,4.5256
0.118,9.6376,4.5353
0.1199,9.6584,4.5451
0.1218,9.6794,4.555
0.1237,9.7004,4.5649
0.1257,9.7215,4.5748
0.1276,9.7427,4.5848
0.1295,9.764,4.5948
0.1314,9.7854,4.6049
0.1333,9.8069,4.615
0.1352,9.8285,4.6252
0.1371,9.8502,4.6354
0.139,9.872,4.6456
0.1409,9.8939,4.6559
0.1428,9.9158,4.6663
0.1447,9.9379,4.6767
0.1466,9.9601,4.6871
0.1485,9.9823,4.6976
0.1504,10.0047,4.7081
0.1523,10.0272,4.7187
0.1542,10.0498,4.7293
0.1561,10.0724,4.74
0.158,10.0952,4.7507
0.1599,10.1181,4.7615
0.1618,10.1411,4.7723
0.1637,10.1642,4.7831
0.1656,10.1873,4.794
0.1675,10.2106,4.805
0.1694,10.234,4.816
0.1713,10.2576,4.8271
0.1732,10.2812,4.8382
0.1752,10.3049,4.8494
0.1771,10.3287,4.8606
0.179,10.3527,4.8719
0.1809,10.3768,4.8832
0.1828,10.4009,4.8946
0.1847,10.4252,4.906
0.1866,10.4496,4.9175
0.1885,10.4741,4.929
0.1904,10.4988,4.9406
0.1923,10.5235,4.9522
0.1942,10.5484,4.9639
0.1961,10.5734,4.9757
0.198,10.5985,4.9875
0.1999,10.6237,4.9994
0.2018,10.649,5.0113
0.2037,10.6745,5.0233
0.2056,10.7001,5.0353
0.2075,10.7258,5.0474
0.2094,10.7516,5.0596
0.2113,10.7775,5.0718
0.2132,10.8036,5.0841
0.2151,10.8298,5.0964
0.217,10.8562,5.1088
0.2189,10.8826,5.1212
0.2208,10.9092,5.1337
0.2227,10.9359,5.1463
0.2246,10.9628,5.159
0.2266,10.9898,5.1717
0.2285,11.0169,5.1844
0.2304,11.0441,5.1972
0.2323,11.0715,5.2101
0.2342,11.099,5.2231
0.2361,11.1267,5.2361
0.238,11.1545,5.2492
0.2399,11.1824,5.2623
0.2418,11.2105,5.2755
0.2437,11.2387,5.2888
0.2456,11.2671,5.3022
0.2475,11.2956,5.3156
0.2494,11.3243,5.3291
0.2513,11.3531,5.3426
0.2532,11.382,5.3562
0.2551,11.4111,5.3699
0.257,11.4403,5.3837
0.2589,11.4697,5.3975
0.2608,11.4993,5.4114
0.2627,11.5289,5.4254
0.2646,11.5588,5.4394
0.2665,11.5888,5.4536
0.2684,11.619,5.4677
0.2703,11.6493,5.482
0.2722,11.6797,5.4964
0.2741,11.7104,5.5108
0.2761,11.7412,5.5253
0.278,11.7721,5.5398
0.2799,11.8033,5.5545
0.2818,11.8345,5.5692
0.2837,11.866,5.584
0.2856,11.8976,5.5989
0.2875,11.9294,5.6138
0.2894,11.9614,5.6289
0.2913,11.9935,5.644
0.2932,12.0258,5.6592
0.2951,12.0583,5.6745
0.297,12.0909,5.6899
0.2989,12.1238,5.7053
0.3008,12.1568,5.7208
0.3027,12.19,5.7365
0.3046,12.2233,5.7522
0.3065,12.2569,5.768
0.3084,12.2906,5.7838
0.3103,12.3246,5.7998
0.3122,12.3587,5.8159
0.3141,12.393,5.832
0.316,12.4275,5.8482
0.3179,12.4622,5.8646
0.3198,12.4971,5.881
0.3217,12.5321,5.8975
0.3236,12.5674,5.9141
0.3256,12.6029,5.9308
0.3275,12.6386,5.9476
0.3294,12.6744,5.9644
0.3313,12.7105,5.9814
0.3332,12.7468,5.9985
0.3351,12.7833,6.0157
0.337,12.82,6.0329
0.3389,12.8569,6.0503
0.3408,12.8941,6.0678
0.3427,12.9314,6.0854
0.3446,12.969,6.103
0.3465,13.0067,6.1208
0.3484,13.0447,6.1387
0.3503,13.083,6.1567
0.3522,13.1214,6.1748
0.3541,13.1601,6.193
0.356,13.199,6.2113
0.3579,13.2381,6.2297
0.3598,13.2775,6.2482
0.3617,13.3171,6.2669
0.3636,13.357,6.2856
0.3655,13.397,6.3045
0.3674,13.4374,6.3235
0.3693,13.4779,6.3425
0.3712,13.5187,6.3618
0.3731,13.5598,6.3811
0.3751,13.6011,6.4005
0.377,13.6427,6.4201
0.3789,13.6845,6.4397
0.3808,13.7265,6.4595
0.3827,13.7689,6.4795
0.3846,13.8115,6.4995
0.3865,13.8543,6.5197
0.3884,13.8974,6.54
0.3903,13.9408,6.5604
0.3922,13.9845,6.5809
0.3941,14.0284,6.6016
0.396,14.0727,6.6224
0.3979,14.1172,6.6434
0.3998,14.1619,6.6644
0.4017,14.207,6.6856
0.4036,14.2524,6.707
0.4055,14.298,6.7285
0.4074,14.3439,6.7501
0.4093,14.3902,6.7718
0.4112,14.4367,6.7937
0.4131,14.4835,6.8158
0.415,14.5307,6.838
0.4169,14.5781,6.8603
0.4188,14.6259,6.8828
0.4207,14.6739,6.9054
0.4226,14.7223,6.9281
0.4245,14.771,6.9511
0.4265,14.8201,6.9741
0.4284,14.8694,6.9974
0.4303,14.9191,7.0208
0.4322,14.9691,7.0443
0.4341,15.0195,7.068
0.436,15.0702,7.0918
0.4379,15.1212,7.1159
0.4398,15.1726,7.14
0.4417,15.2243,7.1644
0.4436,15.2764,7.1889
0.4455,15.3289,7.2136
0.4474,15.3817,7.2384
0.4493,15.4349,7.2635
0.4512,15.4884,7.2887
0.4531,15.5423,7.314
0.455,15.5966,7.3396
