p_bar,K_tait_MPa,K_DH_MPa,K_eff_alpha0.000_MPa,K_eff_alpha0.005_MPa,K_eff_alpha0.010_MPa,K_eff_alpha0.020_MPa,K_eff_alpha0.050_MPa
0.0,1500.00,1500.00,1500.00,0.00,0.00,0.00,0.00
2.5,1502.64,1502.64,1502.64,48.63,24.71,12.46,5.01
5.0,1505.28,1505.29,1505.28,94.21,48.63,24.71,9.98
7.5,1507.91,1507.94,1507.91,137.05,71.79,36.77,14.93
10.1,1510.55,1510.59,1510.55,177.40,94.23,48.63,19.84
12.6,1513.19,1513.25,1513.19,215.48,116.00,60.31,24.72
15.1,1515.83,1515.91,1515.83,251.49,137.12,71.81,29.56
17.6,1518.47,1518.58,1518.47,285.60,157.62,83.13,34.38
20.1,1521.11,1521.25,1521.11,317.97,177.54,94.27,39.17
22.6,1523.74,1523.93,1523.74,348.75,196.91,105.26,43.92
25.1,1526.38,1526.62,1526.38,378.05,215.74,116.07,48.65
27.6,1529.02,1529.30,1529.02,405.99,234.07,126.74,53.35
30.2,1531.66,1531.99,1531.66,432.67,251.92,137.25,58.02
32.7,1534.30,1534.69,1534.30,458.18,269.30,147.60,62.66
35.2,1536.93,1537.39,1536.93,482.61,286.25,157.82,67.27
37.7,1539.57,1540.10,1539.57,506.02,302.77,167.89,71.86
40.2,1542.21,1542.81,1542.21,528.49,318.89,177.83,76.42
42.7,1544.85,1545.53,1544.85,550.09,334.62,187.63,80.95
45.2,1547.49,1548.25,1547.49,570.85,349.98,197.30,85.46
47.7,1550.13,1550.97,1550.13,590.85,364.98,206.84,89.94
50.3,1552.76,1553.70,1552.76,610.12,379.65,216.26,94.39
52.8,1555.40,1556.44,1555.40,628.72,393.99,225.56,98.82
55.3,1558.04,1559.18,1558.04,646.67,408.01,234.74,103.23
57.8,1560.68,1561.92,1560.68,664.03,421.73,243.81,107.61
60.3,1563.32,1564.67,1563.32,680.81,435.16,252.76,111.97
62.8,1565.95,1567.43,1565.95,697.06,448.31,261.60,116.30
65.3,1568.59,1570.19,1568.59,712.81,461.19,270.34,120.61
67.8,1571.23,1572.95,1571.23,728.08,473.82,278.97,124.89
70.4,1573.87,1575.72,1573.87,742.89,486.19,287.50,129.16
72.9,1576.51,1578.49,1576.51,757.28,498.32,295.93,133.40
75.4,1579.15,1581.27,1579.15,771.26,510.22,304.27,137.62
77.9,1581.78,1584.05,1581.78,784.85,521.90,312.51,141.81
80.4,1584.42,1586.84,1584.42,798.07,533.36,320.65,145.99
82.9,1587.06,1589.64,1587.06,810.95,544.62,328.71,150.14
85.4,1589.70,1592.43,1589.70,823.49,555.67,336.67,154.27
87.9,1592.34,1595.24,1592.34,835.72,566.52,344.56,158.39
90.5,1594.97,1598.05,1594.97,847.64,577.19,352.35,162.48
93.0,1597.61,1600.86,1597.61,859.28,587.68,360.06,166.55
95.5,1600.25,1603.68,1600.25,870.64,597.99,367.70,170.60
98.0,1602.89,1606.50,1602.89,881.73,608.13,375.25,174.63
100.5,1605.53,1609.33,1605.53,892.58,618.10,382.72,178.64
103.0,1608.17,1612.16,1608.17,903.19,627.92,390.12,182.63
105.5,1610.80,1615.00,1610.80,913.56,637.58,397.45,186.61
108.0,1613.44,1617.84,1613.44,923.72,647.09,404.70,190.56
110.6,1616.08,1620.69,1616.08,933.66,656.46,411.88,194.50
113.1,1618.72,1623.54,1618.72,943.40,665.68,419.00,198.41
115.6,1621.36,1626.40,1621.36,952.95,674.77,426.04,202.31
118.1,1623.99,1629.26,1623.99,962.31,683.73,433.02,206.19
120.6,1626.63,1632.13,1626.63,971.49,692.55,439.93,210.06
123.1,1629.27,1635.01,1629.27,980.49,701.25,446.78,213.90
125.6,1631.91,1637.88,1631.91,989.34,709.83,453.56,217.73
128.1,1634.55,1640.77,1634.55,998.02,718.30,460.28,221.55
130.7,1637.19,1643.65,1637.19,1006.55,726.64,466.95,225.34
133.2,1639.82,1646.55,1639.82,1014.93,734.88,473.55,229.12
135.7,1642.46,1649.45,1642.46,1023.16,743.01,480.10,232.88
138.2,1645.10,1652.35,1645.10,1031.26,751.03,486.59,236.63
140.7,1647.74,1655.26,1647.74,1039.23,758.95,493.02,240.36
143.2,1650.38,1658.17,1650.38,1047.07,766.77,499.40,244.07
145.7,1653.02,1661.09,1653.02,1054.79,774.50,505.72,247.77
148.2,1655.65,1664.02,1655.65,1062.38,782.13,512.00,251.45
150.8,1658.29,1666.95,1658.29,1069.87,789.66,518.22,255.12
153.3,1660.93,1669.88,1660.93,1077.24,797.11,524.39,258.77
155.8,1663.57,1672.82,1663.57,1084.50,804.47,530.51,262.41
158.3,1666.21,1675.76,1666.21,1091.66,811.75,536.58,266.04
160.8,1668.84,1678.71,1668.84,1098.71,818.94,542.60,269.64
163.3,1671.48,1681.67,1671.48,1105.67,826.05,548.58,273.24
165.8,1674.12,1684.63,1674.12,1112.54,833.08,554.51,276.82
168.3,1676.76,1687.59,1676.76,1119.31,840.04,560.40,280.38
170.9,1679.40,1690.57,1679.40,1126.00,846.92,566.24,283.94
173.4,1682.04,1693.54,1682.04,1132.60,853.73,572.04,287.47
175.9,1684.67,1696.52,1684.67,1139.12,860.47,577.79,291.00
178.4,1687.31,1699.51,1687.31,1145.55,867.14,583.50,294.51
180.9,1689.95,1702.50,1689.95,1151.91,873.74,589.17,298.01
183.4,1692.59,1705.50,1692.59,1158.19,880.27,594.81,301.49
185.9,1695.23,1708.50,1695.23,1164.40,886.74,600.40,304.96
188.4,1697.86,1711.51,1697.86,1170.54,893.14,605.95,308.42
191.0,1700.50,1714.52,1700.50,1176.60,899.49,611.46,311.87
193.5,1703.14,1717.54,1703.14,1182.60,905.77,616.93,315.30
196.0,1705.78,1720.56,1705.78,1188.54,911.99,622.37,318.72
198.5,1708.42,1723.59,1708.42,1194.41,918.16,627.77,322.13
201.0,1711.06,1726.62,1711.06,1200.21,924.27,633.14,325.53
203.5,1713.69,1729.66,1713.69,1205.96,930.33,638.47,328.91
206.0,1716.33,1732.71,1716.33,1211.65,936.33,643.76,332.28
208.5,1718.97,1735.76,1718.97,1217.28,942.27,649.02,335.65
211.1,1721.61,1738.81,1721.61,1222.86,948.17,654.25,338.99
213.6,1724.25,1741.88,1724.25,1228.38,954.02,659.44,342.33
216.1,1726.88,1744.94,1726.88,1233.85,959.81,664.60,345.66
218.6,1729.52,1748.01,1729.52,1239.27,965.56,669.73,348.97
221.1,1732.16,1751.09,1732.16,1244.63,971.26,674.83,352.28
223.6,1734.80,1754.17,1734.80,1249.95,976.92,679.89,355.57
226.1,1737.44,1757.26,1737.44,1255.22,982.53,684.93,358.85
228.6,1740.08,1760.35,1740.08,1260.45,988.09,689.93,362.12
231.2,1742.71,1763.45,1742.71,1265.63,993.61,694.91,365.38
233.7,1745.35,1766.56,1745.35,1270.76,999.09,699.86,368.63
236.2,1747.99,1769.67,1747.99,1275.86,1004.53,704.77,371.87
238.7,1750.63,1772.78,1750.63,1280.91,1009.93,709.66,375.10
241.2,1753.27,1775.90,1753.27,1285.92,1015.28,714.53,378.32
243.7,1755.90,1779.03,1755.90,1290.89,1020.60,719.36,381.53
246.2,1758.54,1782.16,1758.54,1295.82,1025.88,724.17,384.72
248.7,1761.18,1785.30,1761.18,1300.71,1031.12,728.95,387.91
251.3,1763.82,1788.44,1763.82,1305.57,1036.32,733.70,391.09
253.8,1766.46,1791.59,1766.46,1310.38,1041.49,738.43,394.26
256.3,1769.10,1794.74,1769.10,1315.17,1046.62,743.13,397.42
258.8,1771.73,1797.90,1771.73,1319.92,1051.72,747.81,400.57
261.3,1774.37,1801.07,1774.37,1324.63,1056.78,752.47,403.71
263.8,1777.01,1804.24,1777.01,1329.32,1061.81,757.09,406.84
266.3,1779.65,1807.41,1779.65,1333.97,1066.80,761.70,409.96
268.8,1782.29,1810.60,1782.29,1338.58,1071.77,766.28,413.07
271.4,1784.92,1813.78,1784.92,1343.17,1076.70,770.84,416.17
273.9,1787.56,1816.98,1787.56,1347.73,1081.60,775.38,419.27
276.4,1790.20,1820.17,1790.20,1352.25,1086.47,779.89,422.35
278.9,1792.84,1823.38,1792.84,1356.75,1091.31,784.38,425.43
281.4,1795.48,1826.59,1795.48,1361.22,1096.12,788.85,428.50
283.9,1798.12,1829.80,1798.12,1365.67,1100.90,793.30,431.56
286.4,1800.75,1833.03,1800.75,1370.08,1105.65,797.72,434.61
288.9,1803.39,1836.25,1803.39,1374.47,1110.37,802.13,437.65
291.5,1806.03,1839.48,1806.03,1378.83,1115.07,806.51,440.68
294.0,1808.67,1842.72,1808.67,1383.17,1119.74,810.88,443.71
296.5,1811.31,1845.97,1811.31,1387.48,1124.38,815.22,446.72
299.0,1813.94,1849.22,1813.94,1391.77,1129.00,819.54,449.73
301.5,1816.58,1852.47,1816.58,1396.03,1133.59,823.85,452.73
304.0,1819.22,1855.73,1819.22,1400.27,1138.16,828.13,455.72
306.5,1821.86,1859.00,1821.86,1404.49,1142.70,832.40,458.71
309.0,1824.50,1862.27,1824.50,1408.68,1147.22,836.64,461.68
311.6,1827.14,1865.55,1827.14,1412.85,1151.71,840.87,464.65
314.1,1829.77,1868.83,1829.77,1417.00,1156.18,845.08,467.61
316.6,1832.41,1872.12,1832.41,1421.13,1160.63,849.28,470.57
319.1,1835.05,1875.42,1835.05,1425.24,1165.05,853.45,473.51
321.6,1837.69,1878.72,1837.69,1429.33,1169.45,857.61,476.45
324.1,1840.33,1882.03,1840.33,1433.39,1173.83,861.75,479.38
326.6,1842.96,1885.34,1842.96,1437.44,1178.19,865.87,482.31
329.1,1845.60,1888.66,1845.60,1441.47,1182.53,869.97,485.22
331.7,1848.24,1891.98,1848.24,1445.48,1186.84,874.06,488.13
334.2,1850.88,1895.31,1850.88,1449.47,1191.14,878.13,491.03
336.7,1853.52,1898.65,1853.52,1453.44,1195.41,882.19,493.93
339.2,1856.16,1901.99,1856.16,1457.40,1199.67,886.23,496.81
341.7,1858.79,1905.34,1858.79,1461.33,1203.91,890.25,499.70
344.2,1861.43,1908.70,1861.43,1465.25,1208.12,894.26,502.57
346.7,1864.07,1912.06,1864.07,1469.16,1212.32,898.25,505.44
349.2,1866.71,1915.42,1866.71,1473.04,1216.50,902.23,508.30
351.8,1869.35,1918.79,1869.35,1476.91,1220.66,906.19,511.15
354.3,1871.98,1922.17,1871.98,1480.76,1224.80,910.14,514.00
356.8,1874.62,1925.55,1874.62,1484.60,1228.92,914.07,516.84
359.3,1877.26,1928.94,1877.26,1488.42,1233.03,917.99,519.67
361.8,1879.90,1932.34,1879.90,1492.23,1237.12,921.90,522.50
364.3,1882.54,1935.74,1882.54,1496.02,1241.19,925.79,525.32
366.8,1885.18,1939.15,1885.18,1499.80,1245.24,929.66,528.13
369.3,1887.81,1942.56,1887.81,1503.56,1249.28,933.52,530.94
371.9,1890.45,1945.98,1890.45,1507.31,1253.30,937.37,533.74
374.4,1893.09,1949.41,1893.09,1511.04,1257.31,941.21,536.54
376.9,1895.73,1952.84,1895.73,1514.77,1261.30,945.03,539.33
379.4,1898.37,1956.28,1898.37,1518.47,1265.27,948.84,542.11
381.9,1901.01,1959.72,1901.01,1522.17,1269.23,952.63,544.89
384.4,1903.64,1963.17,1903.64,1525.85,1273.17,956.42,547.66
386.9,1906.28,1966.63,1906.28,1529.51,1277.10,960.19,550.42
389.4,1908.92,1970.09,1908.92,1533.17,1281.02,963.94,553.18
392.0,1911.56,1973.56,1911.56,1536.81,1284.91,967.69,555.93
394.5,1914.20,1977.03,1914.20,1540.44,1288.80,971.42,558.68
397.0,1916.83,1980.51,1916.83,1544.06,1292.67,975.14,561.42
399.5,1919.47,1984.00,1919.47,1547.67,1296.53,978.85,564.16
402.0,1922.11,1987.49,1922.11,1551.26,1300.37,982.55,566.89
404.5,1924.75,1990.99,1924.75,1554.85,1304.20,986.23,569.61
407.0,1927.39,1994.49,1927.39,1558.42,1308.02,989.91,572.33
409.5,1930.03,1998.00,1930.03,1561.98,1311.82,993.57,575.05
412.1,1932.66,2001.52,1932.66,1565.53,1315.61,997.22,577.76
414.6,1935.30,2005.04,1935.30,1569.07,1319.39,1000.86,580.46
417.1,1937.94,2008.57,1937.94,1572.60,1323.15,1004.49,583.16
419.6,1940.58,2012.11,1940.58,1576.11,1326.90,1008.11,585.85
422.1,1943.22,2015.65,1943.22,1579.62,1330.64,1011.72,588.53
424.6,1945.85,2019.20,1945.85,1583.12,1334.37,1015.31,591.22
427.1,1948.49,2022.75,1948.49,1586.61,1338.09,1018.90,593.89
429.6,1951.13,2026.32,1951.13,1590.08,1341.79,1022.47,596.56
432.2,1953.77,2029.88,1953.77,1593.55,1345.48,1026.04,599.23
434.7,1956.41,2033.46,1956.41,1597.01,1349.17,1029.59,601.89
437.2,1959.05,2037.03,1959.05,1600.46,1352.84,1033.14,604.55
439.7,1961.68,2040.62,1961.68,1603.90,1356.49,1036.67,607.20
442.2,1964.32,2044.21,1964.32,1607.33,1360.14,1040.20,609.84
444.7,1966.96,2047.81,1966.96,1610.75,1363.78,1043.71,612.49
447.2,1969.60,2051.42,1969.60,1614.16,1367.40,1047.22,615.12
449.7,1972.24,2055.03,1972.24,1617.57,1371.02,1050.72,617.75
452.3,1974.87,2058.65,1974.87,1620.96,1374.62,1054.20,620.38
454.8,1977.51,2062.27,1977.51,1624.35,1378.22,1057.68,623.00
457.3,1980.15,2065.90,1980.15,1627.73,1381.80,1061.15,625.62
459.8,1982.79,2069.54,1982.79,1631.10,1385.37,1064.61,628.23
462.3,1985.43,2073.18,1985.43,1634.46,1388.94,1068.06,630.84
464.8,1988.07,2076.83,1988.07,1637.82,1392.49,1071.50,633.44
467.3,1990.70,2080.48,1990.70,1641.16,1396.04,1074.93,636.04
469.8,1993.34,2084.15,1993.34,1644.50,1399.57,1078.35,638.63
472.4,1995.98,2087.82,1995.98,1647.83,1403.10,1081.77,641.22
474.9,1998.62,2091.49,1998.62,1651.15,1406.61,1085.18,643.81
477.4,2001.26,2095.17,2001.26,1654.47,1410.12,1088.57,646.39
479.9,2003.89,2098.86,2003.89,1657.78,1413.62,1091.96,648.97
482.4,2006.53,2102.56,2006.53,1661.08,1417.11,1095.34,651.54
484.9,2009.17,2106.26,2009.17,1664.37,1420.58,1098.72,654.11
487.4,2011.81,2109.96,2011.81,1667.66,1424.06,1102.08,656.67
489.9,2014.45,2113.68,2014.45,1670.94,1427.52,1105.44,659.23
492.5,2017.09,2117.40,2017.09,1674.21,1430.97,1108.79,661.78
495.0,2019.72,2121.13,2019.72,1677.48,1434.42,1112.13,664.33
497.5,2022.36,2124.86,2022.36,1680.74,1437.85,1115.46,666.88
500.0,2025.00,2128.60,2025.00,1683.99,1441.28,1118.78,669.42
