T_C,K_Mineralöl VG 46 (HLP)_MPa,K_Wasserglykol HFC_MPa,K_Phosphatester HEP_MPa,K_Esteröl HEES_MPa,K_PAO / SHC_MPa,c_Mineralöl VG 46 (HLP)_ms,c_Wasserglykol HFC_ms,c_Phosphatester HEP_ms,c_Esteröl HEES_ms,c_PAO / SHC_ms
0.0,1946.76,3409.91,2289.32,2116.81,2005.98,1495.9,1793.6,1429.7,1516.9,1536.2
1.0,1940.88,3398.09,2281.78,2110.20,2000.41,1493.6,1790.5,1427.3,1514.5,1534.1
2.0,1934.98,3386.26,2274.24,2103.60,1994.83,1491.3,1787.3,1425.0,1512.1,1531.9
3.0,1929.08,3374.42,2266.69,2096.98,1989.25,1489.1,1784.2,1422.6,1509.7,1529.8
4.0,1923.17,3362.59,2259.13,2090.36,1983.66,1486.8,1781.1,1420.2,1507.4,1527.7
5.0,1917.26,3350.74,2251.57,2083.74,1978.06,1484.5,1777.9,1417.9,1505.0,1525.5
6.1,1911.34,3338.90,2244.00,2077.11,1972.46,1482.2,1774.8,1415.5,1502.6,1523.3
7.1,1905.41,3327.05,2236.43,2070.47,1966.86,1479.9,1771.6,1413.1,1500.2,1521.2
8.1,1899.48,3315.19,2228.85,2063.83,1961.25,1477.6,1768.5,1410.7,1497.8,1519.0
9.1,1893.54,3303.34,2221.27,2057.18,1955.64,1475.3,1765.3,1408.3,1495.3,1516.8
10.1,1887.60,3291.47,2213.68,2050.52,1950.02,1473.0,1762.1,1405.9,1492.9,1514.6
11.1,1881.65,3279.61,2206.08,2043.86,1944.39,1470.7,1759.0,1403.5,1490.5,1512.5
12.1,1875.69,3267.74,2198.48,2037.20,1938.76,1468.3,1755.8,1401.0,1488.1,1510.3
13.1,1869.73,3255.86,2190.88,2030.53,1933.13,1466.0,1752.6,1398.6,1485.6,1508.1
14.1,1863.77,3243.99,2183.27,2023.85,1927.49,1463.6,1749.4,1396.2,1483.2,1505.9
15.1,1857.79,3232.10,2175.66,2017.17,1921.85,1461.3,1746.2,1393.8,1480.7,1503.7
16.1,1851.82,3220.22,2168.03,2010.48,1916.20,1458.9,1743.0,1391.3,1478.3,1501.5
