alpha_pct,Keff_p10bar_MPa,Keff_p50bar_MPa,Keff_p100bar_MPa,Keff_p200bar_MPa,Keff_p350bar_MPa
0.000,1510.500,1552.500,1605.000,1710.000,1867.500
0.010,1311.935,1505.656,1579.597,1695.475,1857.569
0.020,1159.510,1461.556,1554.985,1681.194,1847.742
0.030,1038.817,1419.965,1531.128,1667.152,1838.020
0.040,940.881,1380.676,1507.993,1653.342,1828.399
0.050,859.820,1343.503,1485.546,1639.760,1818.878
0.060,791.618,1308.279,1463.758,1626.399,1809.455
0.070,733.442,1274.855,1442.599,1613.253,1800.130
0.080,683.230,1243.096,1422.044,1600.319,1790.901
0.090,639.453,1212.881,1402.066,1587.590,1781.766
0.100,600.948,1184.100,1382.641,1575.062,1772.723
0.110,566.817,1156.653,1363.748,1562.731,1763.772
0.120,536.355,1130.450,1345.364,1550.591,1754.910
0.130,509.000,1105.408,1327.469,1538.638,1746.138
0.140,484.299,1081.451,1310.043,1526.868,1737.452
0.150,461.886,1058.511,1293.070,1515.276,1728.853
0.160,441.455,1036.523,1276.530,1503.860,1720.338
0.170,422.754,1015.431,1260.408,1492.614,1711.907
0.180,405.574,995.180,1244.689,1481.535,1703.558
0.190,389.736,975.720,1229.356,1470.619,1695.290
0.200,375.088,957.007,1214.397,1459.863,1687.101
0.210,361.501,938.999,1199.798,1449.263,1678.992
0.220,348.865,921.655,1185.545,1438.816,1670.960
0.230,337.081,904.941,1171.627,1428.519,1663.005
0.240,326.068,888.822,1158.032,1418.368,1655.125
0.251,315.752,873.268,1144.749,1408.360,1647.319
0.261,306.068,858.248,1131.767,1398.492,1639.587
0.271,296.961,843.736,1119.076,1388.762,1631.927
0.281,288.380,829.707,1106.667,1379.166,1624.338
0.291,280.281,816.137,1094.530,1369.702,1616.819
0.301,272.625,803.003,1082.656,1360.367,1609.370
0.311,265.376,790.286,1071.037,1351.158,1601.989
0.321,258.502,777.965,1059.665,1342.073,1594.675
0.331,251.975,766.022,1048.532,1333.109,1587.428
0.341,245.770,754.441,1037.630,1324.265,1580.246
0.351,239.863,743.204,1026.953,1315.537,1573.129
