K_eff_MPa,f_h_Hz,delta_x_mm
400.0,6.366,50.0000
407.0,6.422,49.1372
414.0,6.477,48.3037
421.1,6.532,47.4980
428.1,6.586,46.7188
435.1,6.640,45.9646
442.1,6.693,45.2345
449.2,6.746,44.5272
456.2,6.799,43.8416
463.2,6.851,43.1769
470.2,6.903,42.5320
477.3,6.954,41.9061
484.3,7.005,41.2983
491.3,7.055,40.7080
498.3,7.106,40.1342
505.4,7.156,39.5764
512.4,7.205,39.0339
519.4,7.254,38.5061
526.4,7.303,37.9924
533.4,7.352,37.4922
540.5,7.400,37.0050
547.5,7.448,36.5302
554.5,7.496,36.0676
561.5,7.543,35.6164
568.6,7.590,35.1765
575.6,7.637,34.7472
582.6,7.683,34.3284
589.6,7.729,33.9195
596.7,7.775,33.5202
603.7,7.821,33.1302
610.7,7.866,32.7492
617.7,7.911,32.3768
624.7,7.956,32.0128
631.8,8.001,31.6570
638.8,8.045,31.3089
645.8,8.089,30.9684
652.8,8.133,30.6352
659.9,8.177,30.3092
666.9,8.220,29.9900
673.9,8.263,29.6774
680.9,8.306,29.3713
688.0,8.349,29.0715
695.0,8.391,28.7777
702.0,8.434,28.4898
709.0,8.476,28.2075
716.1,8.518,27.9309
723.1,8.559,27.6596
730.1,8.601,27.3935
737.1,8.642,27.1325
744.1,8.683,26.8764
751.2,8.724,26.6251
758.2,8.765,26.3785
765.2,8.805,26.1364
772.2,8.846,25.8987
779.3,8.886,25.6652
786.3,8.926,25.4360
793.3,8.965,25.2108
800.3,9.005,24.9896
807.4,9.044,24.7722
814.4,9.084,24.5585
821.4,9.123,24.3485
828.4,9.162,24.1421
835.5,9.200,23.9392
842.5,9.239,23.7396
849.5,9.278,23.5433
856.5,9.316,23.3503
863.5,9.354,23.1603
870.6,9.392,22.9735
877.6,9.430,22.7896
884.6,9.467,22.6087
891.6,9.505,22.4306
898.7,9.542,22.2553
905.7,9.579,22.0827
912.7,9.616,21.9128
919.7,9.653,21.7455
926.8,9.690,21.5807
933.8,9.727,21.4183
940.8,9.763,21.2584
947.8,9.800,21.1009
954.8,9.836,20.9457
961.9,9.872,20.7928
968.9,9.908,20.6420
975.9,9.944,20.4935
982.9,9.980,20.3471
990.0,10.015,20.2027
997.0,10.051,20.0604
