V_acc_mL,K_SEA_α = 0 % (ideal)_Npm,K_SEA_α = 0.5 %_Npm,K_SEA_α = 2 %_Npm,K_SEA_Wasserglykol HFC_Npm
0.0001,64200000000.0,35617198335.6,15249406175.8,116200000000.0
0.0001,61296337453.2,34006289849.2,14559700107.7,110944461247.1
0.0001,58524002884.4,32468240157.8,13901188333.6,105926622043.1
0.0001,55877056540.7,30999753975.4,13272459985.9,101135731620.5
0.0001,53349827314.8,29597685056.8,12672168008.3,96561525451.5
0.0001,50936900594.4,28259029456.0,12099026269.5,92194203256.6
0.0001,48633106661.3,26980919090.9,11551806807.9,88024408006.9
0.0001,46433509615.4,25760615598.0,11029337200.8,84043205877.1
0.0001,44333396799.4,24595504465.7,10530498052.1,80242067104.3
0.0002,42328268702.0,23483089432.4,10054220594.3,76612847712.9
0.0002,40413829317.2,22420987138.5,9599484398.4,73147772066.4
0.0002,38585976940.9,21406922019.9,9165315187.9,69839416207.7
0.0002,36840795382.1,20438721432.5,8750782751.1,66680691953.3
0.0002,35174545573.0,19514310997.5,8354998948.5,63664831706.9
0.0002,33583657557.7,18631710156.8,7977115809.4,60785373959.6
0.0002,32064722843.8,17789027930.0,7616323715.9,58036149446.2
0.0002,30614487099.3,16984458862.3,7271849667.3,55411267927.4
0.0002,29229843180.6,16216279157.1,6942955624.9,52905105570.0
0.0002,27907824475.2,15482842982.1,6628936930.0,50512292897.4
0.0002,26645598545.4,14782578943.4,6329120794.6,48227703286.2
0.0003,25440461060.5,14113986718.7,6042864860.0,46046441981.7
0.0003,24289830002.0,13475633843.0,5769555819.9,43963835611.1
0.0003,23191240132.1,12866152639.2,5508608107.4,41975422170.6
0.0003,22142337711.8,12284237288.1,5259462639.4,40076941465.9
0.0003,21140875457.7,11728641030.6,5021585619.4,38264325984.2
0.0003,20184707727.6,11198173496.6,4794467393.7,36533692179.9
0.0003,19271785923.2,10691698154.3,4577621359.4,34881332153.7
0.0003,18400154100.8,10208129875.6,4370582921.8,33303705708.9
0.0004,17567944781.2,9746432610.9,4172908499.1,31797432766.0
0.0004,16773374948.1,9305617169.6,3984174572.0,30359286121.0
0.0004,16014742228.2,8884739100.2,3803976776.3,28986184531.4
0.0004,15290421243.7,8482896667.8,3631929036.5,27675186114.0
0.0004,14598860130.1,8099228921.0,3467662738.8,26423482042.4
0.0005,13938577211.4,7732913848.2,3310825940.9,25228390529.0
0.0005,13308157825.0,7383166615.8,3161082618.8,24087351078.9
0.0005,12706251291.6,7049237887.2,3018111945.8,22997919004.5
0.0005,12131568020.8,6730412216.8,2881607605.9,21957760187.2
0.0006,11582876748.3,6426006517.8,2751277137.4,20964646077.1
0.0006,11059001897.9,6135368598.0,2626841305.9,20016448917.9
0.0006,10558821062.7,5857875763.0,2508033506.6,19111137188.3
0.0006,10081262600.8,5592933481.7,2394599192.6,18246771249.4
0.0007,9625303338.5,5339974112.9,2286295329.8,17421499189.0
0.0007,9189966378.9,5098455688.7,2182889876.2,16633552854.0
0.0007,8774319008.5,4867860753.7,2084161284.7,15881244062.1
0.0008,8377470698.9,4647695256.0,1989898028.2,15162960984.5
0.0008,7998571198.8,4437487488.9,1899898147.0,14477164693.1
0.0008,7636808712.5,4236787080.5,1813968815.3,13822385862.8
0.0009,7291408160.6,4045164028.1,1731925928.9,13197221623.9
0.0009,6961629519.0,3862207777.5,1653593710.0,12600332556.2
