f_Hz,Kprime_VG 10  (η = 10 mPa·s)_GPa,Kdoubleprime_VG 10  (η = 10 mPa·s)_GPa,tand_VG 10  (η = 10 mPa·s),Kprime_VG 22  (η = 22 mPa·s)_GPa,Kdoubleprime_VG 22  (η = 22 mPa·s)_GPa,tand_VG 22  (η = 22 mPa·s),Kprime_VG 46  (η = 46 mPa·s)_GPa,Kdoubleprime_VG 46  (η = 46 mPa·s)_GPa,tand_VG 46  (η = 46 mPa·s),Kprime_VG 100 (η = 100 mPa·s)_GPa,Kdoubleprime_VG 100 (η = 100 mPa·s)_GPa,tand_VG 100 (η = 100 mPa·s),Kprime_VG 320 (η = 320 mPa·s)_GPa,Kdoubleprime_VG 320 (η = 320 mPa·s)_GPa,tand_VG 320 (η = 320 mPa·s)
1.000e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
1.035e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
1.072e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
1.109e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
1.148e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
1.189e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
1.231e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
1.274e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
1.319e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
1.365e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
1.413e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
1.463e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
1.515e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
1.568e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
1.623e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
1.680e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
1.739e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
1.801e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
1.864e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
1.930e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
1.998e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
2.068e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
2.141e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
2.216e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
2.294e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
2.375e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
2.458e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
2.545e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
2.635e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
2.727e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
2.823e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
2.923e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
3.026e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
3.132e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
3.242e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
3.356e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
3.475e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000
3.597e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000000
3.724e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000000
3.855e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000000
3.990e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000000
4.131e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000000
4.276e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000000
4.427e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000000
4.582e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000000
4.744e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000000
4.911e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000000
5.084e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000000
5.263e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000000
5.448e+03,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000000,0.000000,1.500000,0.000001,0.000001
