T_C,t_L_niedrig (0.1 %/h)_h,t_L_mittel  (0.3 %/h)_h,t_L_typisch (1 %/h)_h,t_L_hoch    (3 %/h)_h
30.0,508225140062055497728.0,40614139704543780864.0,2547159520075346944.0,203552883246718720.0
30.4,491750839611947548672.0,39297617778978242560.0,2464592429390005760.0,196954643427880288.0
30.8,475852035705364545536.0,38027085898327351296.0,2384909653910777344.0,190586899842893504.0
31.2,460507235920758243328.0,36800826524156764160.0,2308003476364665856.0,184441044408392864.0
31.6,445695800523298504704.0,35617190259363168256.0,2233770453035646464.0,178508810556664640.0
32.0,431397906711043899392.0,34474592990954254336.0,2162111234571042560.0,172782258915625248.0
32.4,417594514438869483520.0,33371513158913163264.0,2092930394695410944.0,167253763620718112.0
32.8,404267333747057754112.0,32306489145306025984.0,2026136266465611520.0,161915999229454336.0
33.2,391398793525146943488.0,31278116778086236160.0,1961640785719204096.0,156761928210798176.0
33.6,378972011644887760896.0,30285046944309186560.0,1899359341384637696.0,151784788982904064.0
34.0,366970766399390416896.0,29325983307729534976.0,1839210632337905408.0,146978084474005376.0
34.4,355379469188541186048.0,28399680125992329216.0,1781116530505334784.0,142335571182455264.0
34.8,344183138393656655872.0,27504940162860630016.0,1725001949926694656.0,137851248713077824.0
35.2,333367374387081052160.0,26640612691140509696.0,1670794721506483968.0,133519349768083216.0
35.6,322918335624988917760.0,25805591582169030656.0,1618425473194113024.0,129334330571825296.0
36.0,312822715774160470016.0,24998813477930725376.0,1567827515346220032.0,125290861709682768.0
36.4,303067721825827684352.0,24219256042054590464.0,1518936731036063232.0,121383819362279472.0
36.8,293641053151878086656.0,23465936286118297600.0,1471691471085886720.0,117608276917134640.0
37.2,284530881460878606336.0,22737908967860379648.0,1426032453609071360.0,113959496940706960.0
37.6,275725831613341859840.0,22034265058057601024.0,1381902667858699520.0,110432923494579648.0
38.0,267214963257606307840.0,21354130272980623360.0,1339247282188929792.0,107024174780315536.0
38.4,258987753249485258752.0,20696663669483499520.0,1298013555944521728.0,103729036098225104.0
38.8,251034078820600971264.0,20061056299923386368.0,1258150755102676736.0,100543453105995696.0
39.2,243344201461931048960.0,19446529924235448320.0,1219610071499428864.0,97463525363775392.0
39.6,235908751490697363456.0,18852335776616230912.0,1182344545480862976.0,94485500152947472.0
40.1,228718713270171205632.0,18277753384383916032.0,1146308991826664320.0,91605766556408928.0
40.5,221765411053430308864.0,17722089436700913664.0,1111459928800836864.0,88820849788752400.0
40.9,215040495423395594240.0,17184676700947324928.0,1077755510190897792.0,86127405765268352.0
41.3,208535930302811340800.0,16664872984640700416.0,1045155460203557120.0,83522215899219408.0
41.7,202243980509018750976.0,16162060140892229632.0,1013621011090831360.0,81002182117313840.0
42.1,196157199829529690112.0,15675643115481989120.0,983114843386340608.0,78564322083768176.0
42.5,190268419595538530304.0,15205049033726273536.0,953601028637210752.0,76205764623803056.0
42.9,184570737731547103232.0,14749726325392840704.0,925044974522189312.0,73923745337829936.0
43.3,179057508260256120832.0,14309143885998206976.0,897413372251502464.0,71715602397980424.0
43.7,173722331242880925696.0,13882790272901285888.0,870674146149001856.0,69578772519030032.0
44.1,168559043135900319744.0,13470172934675720192.0,844796405321419776.0,67510787096110840.0
44.5,163561707546159841280.0,13070817472316211200.0,819750397324128384.0,65509268501971816.0
44.9,158724606367039619072.0,12684266930897078272.0,795507463736743424.0,63571926536862008.0
45.3,154042231279201779712.0,12310081120365744128.0,772039997565956480.0,61696555024434232.0
45.7,149509275600162193408.0,11947835964212035584.0,749321402396627584.0,59881028547358672.0
46.1,145120626467665051648.0,11597122874812917760.0,727326053215857920.0,58123299316630480.0
46.5,140871357342497849344.0,11257548154304851968.0,706029258838054656.0,56421394168818568.0
46.9,136756720817038098432.0,10928732419888334848.0,685407225862285440.0,54773411685765224.0
47.3,132772141716438319104.0,10610310052518227968.0,665437024096299008.0,53177519431492512.0
47.7,128913210479939633152.0,10301928667980169216.0,646096553384512640.0,51631951301304736.0
48.1,125175676810378969088.0,10003248609399363584.0,627364511780153600.0,50135004978307280.0
48.5,121555443580455649280.0,9713942460267927552.0,609220365004245632.0,48685039492761848.0
48.9,118048560984873713664.0,9433694577121085440.0,591644317136892288.0,47280472879919200.0
49.3,114651220927924273152.0,9162200641028237312.0,574617282488556160.0,45919779932149656.0
49.7,111359751636558659584.0,8899167227103816704.0,558120858601469632.0,44601490041386480.0
50.1,108170612489429565440.0,8644311391276971008.0,542137300333448896.0,43324185128068248.0
50.5,105080389052807299072.0,8397360273593365504.0,526649494978540160.0,42086497652938152.0
50.9,102085788314680377344.0,8158050717354636288.0,511640938380939968.0,40887108708219560.0
51.3,99183634108709175296.0,7926128903429704704.0,497095712000435328.0,39724746184831008.0
51.7,96370862720116178944.0,7701349999105312768.0,482998460889686656.0,38598183012469896.0
52.1,93644518665880911872.0,7483477820865874944.0,469334372545103360.0,37506235469508176.0
52.5,91001750641998659584.0,7272284510524026880.0,456089156595021760.0,36447761559800008.0
52.9,88439807630836006912.0,7067550224145090560.0,443249025290268352.0,35421659453610880.0
53.3,85956035161948127232.0,6869062833235237888.0,430800674763853440.0,34426865990010840.0
53.7,83547871719993786368.0,6676617637684765696.0,418731267027899200.0,33462355238182832.0
54.1,81212845293667434496.0,6490017089980572672.0,407028412677328384.0,32527137115210848.0
54.5,78948570059833163776.0,6309070530223110144.0,395680154271166976.0,31620256058018700.0
54.9,76752743197287038976.0,6133593931502413824.0,384674950363527424.0,30740789747227212.0
55.3,74623141824827867136.0,5963409655208085504.0,374001660157610944.0,29887847880799076.0
55.7,72557620058537410560.0,5798346215865722880.0,363649528757170624.0,29060570995429060.0
56.1,70554106183385268224.0,5638238055109477376.0,353608172990957056.0,28258129333723328.0
56.5,68610599934497529856.0,5482925324418228224.0,343867567786783360.0,27479721755300876.0
56.9,66725169883613872128.0,5332253676257761280.0,334418033072782336.0,26724574690024816.0
57.3,64895950926460878848.0,5186074063287532544.0,325250221184441600.0,25991941131652272.0
57.7,63121141866930167808.0,5044242545303457792.0,316355104756813376.0,25281099670256324.0
58.1,61399003094163546112.0,4906620103605248000.0,307723965082361728.0,24591353561858756.0
58.5,59727854348763717632.0,4773072462486088704.0,299348380915495424.0,23922029833759164.0
58.9,58106072574553382912.0,4643469917558816768.0,291220217705859392.0,23272478424127628.0
59.3,56532089852425682944.0,4517687170642308608.0,283331617243056320.0,22642071354476388.0
59.7,55004391412996628480.0,4395603170945226752.0,275674987696314784.0,22030201933693056.0
60.2,53521513724890415104.0,4277100962293874688.0,268242994033219264.0,21436283992366124.0
60.6,52082042655636717568.0,4162067536162730496.0,261028548802361696.0,20859751146192772.0
61.0,50684611702276743168.0,4050393690275678208.0,254024803265365632.0,20300056087306268.0
61.4,49327900288898932736.0,3941973892555817984.0,247225138864351904.0,19756669902409820.0
61.8,48010632128442720256.0,3836706150211188224.0,240623159011508576.0,19229081416650884.0
62.2,46731573646217453568.0,3734491883752358912.0,234212681187968736.0,18716796562213464.0
62.6,45489532462692286464.0,3635235805746598400.0,227987729339747552.0,18219337770649468.0
63.0,44283355933210583040.0,3538845804121078272.0,221942526558976768.0,17736243388009242.0
63.4,43111929742383661056.0,3445232829835711488.0,216071488039185952.0,17267067111872200.0
63.8,41974176551012089856.0,3354310788753655808.0,210369214293844768.0,16811377449415594.0
64.2,40869054693463285760.0,3265996437543970304.0,204830484627785600.0,16368757195691896.0
64.6,39795556923533352960.0,3180209283458820096.0,199450250851623296.0,15938802931324968.0
65.0,38752709206888620032.0,3096871487833042944.0,194223631229626400.0,15521124538862184.0
65.4,37739569558270246912.0,3015907773160890368.0,189145904651934880.0,15115344737054944.0
65.8,36755226921712820224.0,2937245333610181120.0,184212505022358976.0,14721098632367018.0
66.2,35798800092107014144.0,2860813748840405504.0,179419015853388608.0,14338033287041896.0
66.6,34869436676495360000.0,2786544900996052480.0,174761165060340640.0,13965807303083936.0
67.0,33966312093561913344.0,2714372894752150016.0,170234819946928640.0,13604090421536818.0
67.4,33088628609841676288.0,2644233980294215680.0,165835982374867744.0,13252563136468898.0
67.8,32235614411224805376.0,2576066479118742528.0,161560784110372000.0,12910916323094706.0
