t_h,delta_eta_Pas,K_alt_MPa,K_ratio,lambda_ox,lambda_fri,lambda_cav,lambda_tot
0.0,0.00000,1500.0000,1.0000,1.0000,0.2636,0.1355,1.3991
10.0,0.00301,1442.4826,0.9617,1.5460,0.1705,0.1355,1.8519
20.0,0.00601,1418.6582,0.9458,2.3900,0.1103,0.1355,2.6358
30.1,0.00902,1400.3770,0.9336,3.6949,0.0713,0.1355,3.9017
40.1,0.01202,1384.9653,0.9233,5.7123,0.0461,0.1355,5.8939
50.1,0.01503,1371.3873,0.9143,8.8310,0.0298,0.1355,8.9963
60.1,0.01804,1359.1118,0.9061,13.6525,0.0193,0.1355,13.8073
70.1,0.02104,1347.8234,0.8985,21.1064,0.0125,0.1355,21.2544
80.2,0.02405,1337.3163,0.8915,32.6300,0.0081,0.1355,32.7735
90.2,0.02705,1327.4479,0.8850,50.4451,0.0052,0.1355,50.5858
100.2,0.03006,1318.1141,0.8787,77.9868,0.0034,0.1355,78.1256
110.2,0.03307,1309.2365,0.8728,120.5655,0.0022,0.1355,120.7031
120.2,0.03607,1300.7540,0.8672,186.3911,0.0014,0.1355,186.5280
130.3,0.03908,1292.6182,0.8617,288.1557,0.0009,0.1355,288.2921
140.3,0.04208,1284.7897,0.8565,445.4811,0.0006,0.1355,445.6172
150.3,0.04509,1277.2362,0.8515,688.7021,0.0004,0.1355,688.8379
160.3,0.04810,1269.9306,0.8466,1064.7152,0.0002,0.1355,1064.8510
170.3,0.05110,1262.8498,0.8419,1646.0217,0.0002,0.1355,1646.1574
180.4,0.05411,1255.9745,0.8373,2544.7062,0.0001,0.1355,2544.8418
190.4,0.05711,1249.2876,0.8329,3934.0488,0.0001,0.1355,3934.1844
200.4,0.06012,1242.7745,0.8285,6081.9359,0.0000,0.1355,6082.0714
210.4,0.06313,1236.4223,0.8243,9402.5128,0.0000,0.1355,9402.6483
220.4,0.06613,1230.2197,0.8201,14536.0371,0.0000,0.1355,14536.1726
230.5,0.06914,1224.1564,0.8161,22472.3306,0.0000,0.1355,22472.4661
240.5,0.07214,1218.2236,0.8121,34741.6313,0.0000,0.1355,34741.7668
250.5,0.07515,1212.4132,0.8083,53709.6471,0.0000,0.1355,53709.7826
260.5,0.07816,1206.7178,0.8045,83033.7001,0.0000,0.1355,83033.8356
270.5,0.08116,1201.1310,0.8008,128367.9138,0.0000,0.1355,128368.0492
280.6,0.08417,1195.6467,0.7971,198453.4143,0.0000,0.1355,198453.5498
290.6,0.08717,1190.2595,0.7935,306803.7524,0.0000,0.1355,306803.8879
300.6,0.09018,1184.9644,0.7900,474310.5220,0.0000,0.1355,474310.6575
310.6,0.09319,1179.7569,0.7865,733271.5766,0.0000,0.1355,733271.7121
320.6,0.09619,1174.6327,0.7831,1133618.5476,0.0000,0.1355,1133618.6831
330.7,0.09920,1169.5879,0.7797,1752544.4222,0.0000,0.1355,1752544.5576
340.7,0.10220,1164.6190,0.7764,2709387.5255,0.0000,0.1355,2709387.6610
350.7,0.10521,1159.7227,0.7731,4188641.7661,0.0000,0.1355,4188641.9015
360.7,0.10822,1154.8958,0.7699,6475529.8676,0.0000,0.1355,6475530.0031
370.7,0.11122,1150.1355,0.7668,10010998.6501,0.0000,0.1355,10010998.7856
380.8,0.11423,1145.4392,0.7636,15476740.2857,0.0000,0.1355,15476740.4211
390.8,0.11723,1140.8042,0.7605,23926632.9206,0.0000,0.1355,23926633.0561
400.8,0.12024,1136.2283,0.7575,36989944.4166,0.0000,0.1355,36989944.5521
410.8,0.12325,1131.7092,0.7545,57185479.9831,0.0000,0.1355,57185480.1186
420.8,0.12625,1127.2449,0.7515,88407246.1442,0.0000,0.1355,88407246.2797
430.9,0.12926,1122.8334,0.7486,136675274.4422,0.0000,0.1355,136675274.5777
440.9,0.13226,1118.4730,0.7456,211296375.1113,0.0000,0.1355,211296375.2468
450.9,0.13527,1114.1618,0.7428,326658631.6903,0.0000,0.1355,326658631.8258
460.9,0.13828,1109.8983,0.7399,505005642.4374,0.0000,0.1355,505005642.5729
470.9,0.14128,1105.6808,0.7371,780725424.5019,0.0000,0.1355,780725424.6374
481.0,0.14429,1101.5080,0.7343,1206980946.8301,0.0000,0.1355,1206980946.9656
491.0,0.14729,1097.3785,0.7316,1865960759.4313,0.0000,0.1355,1865960759.5668
501.0,0.15030,1093.2908,0.7289,2884726196.2848,0.0000,0.1355,2884726196.4203
511.0,0.15331,1089.2439,0.7262,4459710733.7177,0.0000,0.1355,4459710733.8532
521.0,0.15631,1085.2364,0.7235,6894595353.2961,0.0000,0.1355,6894595353.4316
531.1,0.15932,1081.2673,0.7208,10658862855.4538,0.0000,0.1355,10658862855.5893
541.1,0.16232,1077.3354,0.7182,16478321286.4059,0.0000,0.1355,16478321286.5414
551.1,0.16533,1073.4398,0.7156,25475050772.3326,0.0000,0.1355,25475050772.4681
561.1,0.16834,1069.5795,0.7131,39383757639.7000,0.0000,0.1355,39383757639.8354
571.1,0.17134,1065.7534,0.7105,60886252187.8546,0.0000,0.1355,60886252187.9901
581.2,0.17435,1061.9608,0.7080,94128542517.3884,0.0000,0.1355,94128542517.5238
591.2,0.17735,1058.2008,0.7055,145520247971.7607,0.0000,0.1355,145520247971.8962
601.2,0.18036,1054.4724,0.7030,224970471266.4698,0.0000,0.1355,224970471266.6052
611.2,0.18337,1050.7750,0.7005,347798424255.5640,0.0000,0.1355,347798424255.6995
621.2,0.18637,1047.1078,0.6981,537687205052.6861,0.0000,0.1355,537687205052.8216
631.3,0.18938,1043.4701,0.6956,831250259676.0778,0.0000,0.1355,831250259676.2133
641.3,0.19238,1039.8611,0.6932,1285091011499.5999,0.0000,0.1355,1285091011499.7354
651.3,0.19539,1036.2802,0.6909,1986716862477.2671,0.0000,0.1355,1986716862477.4026
661.3,0.19840,1032.7267,0.6885,3071411951629.4688,0.0000,0.1355,3071411951629.6040
671.3,0.20140,1029.2001,0.6861,4748321995339.3428,0.0000,0.1355,4748321995339.4785
681.4,0.20441,1025.6997,0.6838,7340780763538.4053,0.0000,0.1355,7340780763538.5410
691.4,0.20741,1022.2249,0.6815,11348653749941.0293,0.0000,0.1355,11348653749941.1641
701.4,0.21042,1018.7752,0.6792,17544719844482.8398,0.0000,0.1355,17544719844482.9746
711.4,0.21343,1015.3501,0.6769,27123674860816.9062,0.0000,0.1355,27123674860817.0430
