r_nm,DeltaP_L_Mineralöl VG 46_Pa,DeltaP_L_Phosphatester HEP_Pa,DeltaP_L_Wasserglykol HFC_Pa,DeltaP_L_Esteröl HEES_Pa,DeltaP_L_Silikonöl_Pa,P_kav_Mineralöl VG 46_bar,P_kav_Phosphatester HEP_bar,P_kav_Wasserglykol HFC_bar,P_kav_Esteröl HEES_bar,P_kav_Silikonöl_bar
1.00,60000000.00,80000000.00,130000000.00,64000000.00,42000000.00,600.0050,800.0050,1300.0050,640.0050,420.0050
1.02,58630849.64,78174466.18,127033507.55,62539572.95,41041594.75,586.3135,781.7497,1270.3401,625.4007,410.4209
1.05,57292942.15,76390589.54,124134708.00,61112471.63,40105059.51,572.9344,763.9109,1241.3521,611.1297,401.0556
1.07,55985564.61,74647419.48,121302056.66,59717935.59,39189895.23,559.8606,746.4792,1213.0256,597.1844,391.9040
1.10,54708020.35,72944027.13,118534044.08,58355221.70,38295614.24,547.0852,729.4453,1185.3454,583.5572,382.9611
1.12,53459628.58,71279504.77,115829195.26,57023603.82,37421740.01,534.6013,712.8000,1158.2970,570.2410,374.2224
1.15,52239724.08,69652965.44,113186068.85,55722372.36,36567806.86,522.4022,696.5347,1131.8657,557.2287,365.6831
1.18,51047656.80,68063542.40,110603256.40,54450833.92,35733359.76,510.4816,680.6404,1106.0376,544.5133,357.3386
1.20,49882791.50,66510388.67,108079381.59,53208310.93,34917954.05,498.8329,665.1089,1080.7988,532.0881,349.1845
1.23,48744507.47,64992676.62,105613099.51,51994141.30,34121155.23,487.4501,649.9318,1056.1360,519.9464,341.2166
1.26,47632198.13,63509597.51,103203095.95,50807678.01,33342538.69,476.3270,635.1010,1032.0360,508.0818,333.4304
1.29,46545270.78,62060361.04,100848086.68,49648288.83,32581689.54,465.4577,620.6086,1008.4859,496.4879,325.8219
1.32,45483146.21,60644194.94,98546816.78,48515355.95,31838202.34,454.8365,606.4469,985.4732,485.1586,318.3870
1.35,44445258.44,59260344.58,96298059.95,47408275.67,31111680.91,444.4576,592.6084,962.9856,474.0878,311.1218
1.38,43431054.41,57908072.55,94100617.89,46326458.04,30401738.09,434.3155,579.0857,941.0112,463.2696,304.0224
1.41,42439993.68,56586658.24,91953319.64,45269326.59,29707995.57,424.4049,565.8716,919.5382,452.6983,297.0850
1.45,41471548.13,55295397.51,89855020.95,44236318.01,29030083.69,414.7205,552.9590,898.5552,442.3682,290.3058
1.48,40525201.71,54033602.28,87804603.71,43226881.83,28367641.20,405.2570,540.3410,878.0510,432.2738,283.6814
1.52,39600450.14,52800600.18,85800975.30,42240480.15,27720315.10,396.0095,528.0110,858.0148,422.4098,277.2082
1.55,38696800.63,51595734.17,83843068.02,41276587.33,27087760.44,386.9730,515.9623,838.4357,412.7709,270.8826
1.59,37813771.65,50418362.20,81929838.57,40334689.76,26469640.15,378.1427,504.1886,819.3034,403.3519,264.7014
1.62,36950892.66,49267856.89,80060267.44,39414285.51,25865624.86,369.5139,492.6836,800.6077,394.1479,258.6612
1.66,36107703.86,48143605.15,78233358.37,38514884.12,25275392.70,361.0820,481.4411,782.3386,385.1538,252.7589
1.70,35283755.93,47045007.91,76448137.85,37636006.33,24698629.15,352.8426,470.4551,764.4864,376.3651,246.9913
1.74,34478609.81,45971479.75,74703654.59,36777183.80,24135026.87,344.7911,459.7198,747.0415,367.7768,241.3553
1.78,33691836.46,44922448.61,72998979.00,35937958.89,23584285.52,336.9234,449.2295,729.9948,359.3846,235.8479
1.82,32923016.63,43897355.50,71333202.69,35117884.40,23046111.64,329.2352,438.9786,713.3370,351.1838,230.4661
1.86,32171740.62,42895654.16,69705438.02,34316523.33,22520218.44,321.7224,428.9615,697.0594,343.1702,225.2072
1.91,31437608.12,41916810.82,68114817.59,33533448.66,22006325.68,314.3811,419.1731,681.1532,335.3395,220.0683
1.95,30720227.91,40960303.88,66560493.80,32768243.10,21504159.54,307.2073,409.6080,665.6099,327.6874,215.0466
2.00,30019217.72,40025623.63,65041638.40,32020498.90,21013452.41,300.1972,400.2612,650.4214,320.2100,210.1395
2.05,29334204.01,39112272.01,63557442.02,31289817.61,20533942.81,293.3470,391.1277,635.5794,312.9032,205.3444
2.09,28664821.74,38219762.32,62107113.77,30575809.86,20065375.22,286.6532,382.2026,621.0761,305.7631,200.6588
2.14,28010714.22,37347618.97,60689880.82,29878095.17,19607499.96,280.1121,373.4812,606.9038,298.7860,196.0800
2.19,27371532.90,36495377.20,59304987.95,29196301.76,19160073.03,273.7203,364.9588,593.0549,291.9680,191.6057
2.24,26746937.16,35662582.88,57951697.19,28530066.31,18722856.01,267.4744,356.6308,579.5220,285.3057,187.2336
2.30,26136594.18,34848792.25,56629287.40,27879033.80,18295615.93,261.3709,348.4929,566.2979,278.7953,182.9612
2.35,25540178.73,34053571.64,55337053.91,27242857.31,17878125.11,255.4068,340.5407,553.3755,272.4336,178.7863
2.40,24957372.98,33276497.30,54074308.12,26621197.84,17470161.08,249.5787,332.7700,540.7481,266.2170,174.7066
2.46,24387866.37,32517155.17,52840377.14,26013724.13,17071506.46,243.8837,325.1766,528.4088,260.1422,170.7201
2.52,23831355.44,31775140.59,51634603.45,25420112.47,16681948.81,238.3186,317.7564,516.3510,254.2061,166.8245
2.58,23287543.62,31050058.17,50456344.52,24840046.53,16301280.54,232.8804,310.5056,504.5684,248.4055,163.0178
2.64,22756141.14,30341521.53,49304972.48,24273217.22,15929298.80,227.5664,303.4202,493.0547,242.7372,159.2980
2.70,22236864.83,29649153.11,48179873.80,23719322.48,15565805.38,222.3736,296.4965,481.8037,237.1982,155.6631
2.76,21729437.97,28972583.96,47080448.94,23178067.17,15210606.58,217.2994,289.7308,470.8095,231.7857,152.1111
2.83,21233590.17,28311453.56,46006112.04,22649162.85,14863513.12,212.3409,283.1195,460.0661,226.4966,148.6401
2.89,20749057.21,27665409.62,44956290.63,22132327.69,14524340.05,207.4956,276.6591,449.5679,221.3283,145.2484
2.96,20275580.89,27034107.86,43930425.27,21627286.28,14192906.62,202.7608,270.3461,439.3093,216.2779,141.9341
3.03,19812908.91,26417211.88,42927969.30,21133769.50,13869036.24,198.1341,264.1771,429.2847,211.3427,138.6954
3.10,19360794.72,25814392.96,41948388.56,20651514.37,13552556.30,193.6129,258.1489,419.4889,206.5201,135.5306
3.17,18918997.40,25225329.87,40991161.04,20180263.89,13243298.18,189.1950,252.2583,409.9166,201.8076,132.4380
3.25,18487281.53,24649708.71,40055776.65,19719766.97,12941097.07,184.8778,246.5021,400.5628,197.2027,129.4160
3.32,18065417.06,24087222.75,39141736.97,19269778.20,12645791.94,180.6592,240.8772,391.4224,192.7028,126.4629
3.40,17653179.19,23537572.25,38248554.91,18830057.80,12357225.43,176.5368,235.3807,382.4905,188.3056,123.5773
3.48,17250348.25,23000464.33,37375754.53,18400371.46,12075243.77,172.5085,230.0096,373.7625,184.0087,120.7574
3.56,16856709.57,22475612.76,36522870.73,17980490.21,11799696.70,168.5721,224.7611,365.2337,179.8099,118.0020
3.64,16472053.40,21962737.87,35689449.04,17570190.30,11530437.38,164.7255,219.6324,356.8995,175.7069,115.3094
3.73,16096174.77,21461566.36,34875045.34,17169253.09,11267322.34,160.9667,214.6207,348.7555,171.6975,112.6782
3.81,15728873.38,20971831.17,34079225.66,16777464.94,11010211.37,157.2937,209.7233,340.7973,167.7796,110.1071
3.90,15369953.50,20493271.34,33301565.92,16394617.07,10758967.45,153.7045,204.9377,333.0207,163.9512,107.5947
3.99,15019223.88,20025631.84,32541651.74,16020505.47,10513456.71,150.1972,200.2613,325.4215,160.2101,105.1396
4.09,14676497.61,19568663.49,31799078.17,15654930.79,10273548.33,146.7700,195.6916,317.9958,156.5543,102.7405
4.18,14341592.08,19122122.77,31073449.51,15297698.22,10039114.46,143.4209,191.2262,310.7395,152.9820,100.3961
