phi_pct,K_Reuss_MPa,K_Voigt_MPa,K_Maxwell_MPa
0.0,2180.000,2180.000,2180.000
0.3,2176.700,2177.726,2177.463
0.7,2173.410,2175.452,2174.928
1.0,2170.129,2173.177,2172.394
1.3,2166.859,2170.903,2169.863
1.7,2163.598,2168.629,2167.334
2.0,2160.347,2166.355,2164.806
2.3,2157.106,2164.080,2162.281
2.7,2153.875,2161.806,2159.758
3.0,2150.653,2159.532,2157.236
3.3,2147.441,2157.258,2154.717
3.7,2144.239,2154.983,2152.199
4.0,2141.046,2152.709,2149.683
4.3,2137.862,2150.435,2147.170
4.7,2134.688,2148.161,2144.658
5.0,2131.524,2145.886,2142.148
5.4,2128.369,2143.612,2139.640
5.7,2125.223,2141.338,2137.134
6.0,2122.086,2139.064,2134.630
6.4,2118.959,2136.789,2132.128
6.7,2115.841,2134.515,2129.628
7.0,2112.732,2132.241,2127.130
7.4,2109.632,2129.967,2124.633
7.7,2106.541,2127.692,2122.139
8.0,2103.459,2125.418,2119.646
8.4,2100.387,2123.144,2117.156
8.7,2097.323,2120.870,2114.667
9.0,2094.268,2118.595,2112.181
9.4,2091.222,2116.321,2109.696
9.7,2088.185,2114.047,2107.213
10.0,2085.157,2111.773,2104.732
10.4,2082.137,2109.498,2102.253
10.7,2079.126,2107.224,2099.775
11.0,2076.124,2104.950,2097.300
11.4,2073.131,2102.676,2094.827
11.7,2070.146,2100.401,2092.355
12.0,2067.170,2098.127,2089.886
12.4,2064.202,2095.853,2087.418
12.7,2061.243,2093.579,2084.952
13.0,2058.292,2091.304,2082.488
13.4,2055.350,2089.030,2080.026
13.7,2052.416,2086.756,2077.566
14.0,2049.491,2084.482,2075.107
14.4,2046.573,2082.207,2072.651
14.7,2043.665,2079.933,2070.196
15.1,2040.764,2077.659,2067.744
15.4,2037.872,2075.385,2065.293
15.7,2034.987,2073.110,2062.844
16.1,2032.111,2070.836,2060.397
16.4,2029.243,2068.562,2057.951
16.7,2026.383,2066.288,2055.508
17.1,2023.532,2064.013,2053.067
17.4,2020.688,2061.739,2050.627
17.7,2017.852,2059.465,2048.189
18.1,2015.024,2057.191,2045.753
18.4,2012.204,2054.916,2043.319
18.7,2009.392,2052.642,2040.887
19.1,2006.588,2050.368,2038.456
19.4,2003.791,2048.094,2036.028
19.7,2001.003,2045.819,2033.601
20.1,1998.222,2043.545,2031.176
20.4,1995.449,2041.271,2028.753
20.7,1992.683,2038.997,2026.332
21.1,1989.926,2036.722,2023.913
21.4,1987.175,2034.448,2021.495
21.7,1984.433,2032.174,2019.079
22.1,1981.698,2029.900,2016.666
22.4,1978.970,2027.625,2014.254
22.7,1976.250,2025.351,2011.843
23.1,1973.538,2023.077,2009.435
23.4,1970.832,2020.803,2007.028
23.7,1968.135,2018.528,2004.624
24.1,1965.444,2016.254,2002.221
24.4,1962.761,2013.980,1999.820
24.7,1960.086,2011.706,1997.420
25.1,1957.417,2009.431,1995.023
25.4,1954.756,2007.157,1992.627
25.8,1952.102,2004.883,1990.233
26.1,1949.456,2002.609,1987.841
26.4,1946.816,2000.334,1985.451
26.8,1944.184,1998.060,1983.062
27.1,1941.558,1995.786,1980.676
27.4,1938.940,1993.512,1978.291
27.8,1936.329,1991.237,1975.908
28.1,1933.725,1988.963,1973.526
28.4,1931.128,1986.689,1971.147
28.8,1928.538,1984.415,1968.769
29.1,1925.954,1982.140,1966.393
29.4,1923.378,1979.866,1964.019
29.8,1920.809,1977.592,1961.646
30.1,1918.246,1975.318,1959.276
30.4,1915.690,1973.043,1956.907
30.8,1913.141,1970.769,1954.540
31.1,1910.599,1968.495,1952.175
31.4,1908.064,1966.221,1949.811
31.8,1905.535,1963.946,1947.449
32.1,1903.013,1961.672,1945.089
32.4,1900.498,1959.398,1942.731
32.8,1897.989,1957.124,1940.375
33.1,1895.487,1954.849,1938.020
33.4,1892.991,1952.575,1935.667
33.8,1890.502,1950.301,1933.316
34.1,1888.020,1948.027,1930.967
34.4,1885.544,1945.753,1928.619
34.8,1883.075,1943.478,1926.273
35.1,1880.612,1941.204,1923.929
35.5,1878.155,1938.930,1921.586
35.8,1875.705,1936.656,1919.246
