P_bar,eta_Mineralöl VG 10   (α_P = 1.5e-8 /Pa)_Pas,eta_Mineralöl VG 46   (α_P = 2.0e-8 /Pa)_Pas,eta_Mineralöl VG 100  (α_P = 2.5e-8 /Pa)_Pas,eta_Phosphatester HEP (α_P = 1.0e-8 /Pa)_Pas,eta_PAO / SHC         (α_P = 1.8e-8 /Pa)_Pas,f_R_Mineralöl VG 10   (α_P = 1.5e-8 /Pa)_Hz,f_R_Mineralöl VG 46   (α_P = 2.0e-8 /Pa)_Hz,f_R_Mineralöl VG 100  (α_P = 2.5e-8 /Pa)_Hz,f_R_Phosphatester HEP (α_P = 1.0e-8 /Pa)_Hz,f_R_PAO / SHC         (α_P = 1.8e-8 /Pa)_Hz
0.0,0.046000,5.912e+09,0.046000,5.912e+09,0.046000,5.912e+09,0.046000,5.912e+09,0.046000,5.912e+09
2.0,0.046139,5.895e+09,0.046185,5.889e+09,0.046231,5.883e+09,0.046092,5.901e+09,0.046166,5.891e+09
4.0,0.046278,5.877e+09,0.046371,5.865e+09,0.046464,5.853e+09,0.046185,5.889e+09,0.046334,5.870e+09
6.0,0.046417,5.859e+09,0.046557,5.842e+09,0.046698,5.824e+09,0.046278,5.877e+09,0.046501,5.849e+09
8.0,0.046557,5.842e+09,0.046744,5.818e+09,0.046932,5.795e+09,0.046371,5.865e+09,0.046669,5.828e+09
10.0,0.046698,5.824e+09,0.046932,5.795e+09,0.047168,5.766e+09,0.046464,5.853e+09,0.046838,5.807e+09
12.0,0.046838,5.807e+09,0.047121,5.772e+09,0.047406,5.737e+09,0.046557,5.842e+09,0.047008,5.786e+09
14.0,0.046980,5.789e+09,0.047311,5.749e+09,0.047644,5.708e+09,0.046651,5.830e+09,0.047178,5.765e+09
16.1,0.047121,5.772e+09,0.047501,5.726e+09,0.047884,5.680e+09,0.046744,5.818e+09,0.047349,5.744e+09
18.1,0.047263,5.754e+09,0.047692,5.703e+09,0.048125,5.651e+09,0.046838,5.807e+09,0.047520,5.723e+09
20.1,0.047406,5.737e+09,0.047884,5.680e+09,0.048367,5.623e+09,0.046932,5.795e+09,0.047692,5.703e+09
22.1,0.047549,5.720e+09,0.048076,5.657e+09,0.048610,5.595e+09,0.047027,5.783e+09,0.047864,5.682e+09
24.1,0.047692,5.703e+09,0.048270,5.634e+09,0.048854,5.567e+09,0.047121,5.772e+09,0.048038,5.662e+09
26.1,0.047836,5.686e+09,0.048464,5.612e+09,0.049100,5.539e+09,0.047216,5.760e+09,0.048212,5.641e+09
28.1,0.047980,5.668e+09,0.048659,5.589e+09,0.049347,5.511e+09,0.047311,5.749e+09,0.048386,5.621e+09
30.1,0.048125,5.651e+09,0.048854,5.567e+09,0.049595,5.484e+09,0.047406,5.737e+09,0.048561,5.601e+09
32.1,0.048270,5.634e+09,0.049051,5.545e+09,0.049845,5.456e+09,0.047501,5.726e+09,0.048737,5.580e+09
34.1,0.048415,5.618e+09,0.049248,5.523e+09,0.050095,5.429e+09,0.047596,5.714e+09,0.048913,5.560e+09
36.1,0.048561,5.601e+09,0.049446,5.500e+09,0.050347,5.402e+09,0.047692,5.703e+09,0.049090,5.540e+09
38.1,0.048707,5.584e+09,0.049645,5.478e+09,0.050600,5.375e+09,0.047788,5.691e+09,0.049268,5.520e+09
40.1,0.048854,5.567e+09,0.049845,5.456e+09,0.050855,5.348e+09,0.047884,5.680e+09,0.049446,5.500e+09
42.1,0.049002,5.550e+09,0.050045,5.435e+09,0.051111,5.321e+09,0.047980,5.668e+09,0.049625,5.481e+09
44.1,0.049149,5.534e+09,0.050246,5.413e+09,0.051368,5.295e+09,0.048076,5.657e+09,0.049805,5.461e+09
46.2,0.049297,5.517e+09,0.050448,5.391e+09,0.051626,5.268e+09,0.048173,5.646e+09,0.049985,5.441e+09
48.2,0.049446,5.500e+09,0.050651,5.370e+09,0.051886,5.242e+09,0.048270,5.634e+09,0.050166,5.422e+09
50.2,0.049595,5.484e+09,0.050855,5.348e+09,0.052147,5.216e+09,0.048367,5.623e+09,0.050347,5.402e+09
52.2,0.049745,5.467e+09,0.051059,5.327e+09,0.052409,5.189e+09,0.048464,5.612e+09,0.050529,5.382e+09
54.2,0.049895,5.451e+09,0.051265,5.305e+09,0.052672,5.163e+09,0.048561,5.601e+09,0.050712,5.363e+09
56.2,0.050045,5.435e+09,0.051471,5.284e+09,0.052937,5.138e+09,0.048659,5.589e+09,0.050896,5.344e+09
58.2,0.050196,5.418e+09,0.051678,5.263e+09,0.053204,5.112e+09,0.048756,5.578e+09,0.051080,5.324e+09
60.2,0.050347,5.402e+09,0.051886,5.242e+09,0.053471,5.086e+09,0.048854,5.567e+09,0.051265,5.305e+09
62.2,0.050499,5.386e+09,0.052094,5.221e+09,0.053740,5.061e+09,0.048952,5.556e+09,0.051450,5.286e+09
64.2,0.050651,5.370e+09,0.052304,5.200e+09,0.054010,5.036e+09,0.049051,5.545e+09,0.051636,5.267e+09
66.2,0.050804,5.353e+09,0.052514,5.179e+09,0.054282,5.010e+09,0.049149,5.534e+09,0.051823,5.248e+09
68.2,0.050957,5.337e+09,0.052725,5.158e+09,0.054555,4.985e+09,0.049248,5.523e+09,0.052011,5.229e+09
70.2,0.051111,5.321e+09,0.052937,5.138e+09,0.054829,4.960e+09,0.049347,5.511e+09,0.052199,5.210e+09
72.2,0.051265,5.305e+09,0.053150,5.117e+09,0.055105,4.936e+09,0.049446,5.500e+09,0.052388,5.192e+09
74.2,0.051419,5.289e+09,0.053364,5.097e+09,0.055382,4.911e+09,0.049545,5.489e+09,0.052577,5.173e+09
76.3,0.051574,5.273e+09,0.053579,5.076e+09,0.055661,4.886e+09,0.049645,5.478e+09,0.052768,5.154e+09
