t_h,K_eff_MPa,K_meas_MPa,c_s_ms,dt_ns,eta_Pas,TAN,condition
0.0,1500.0000,1500.0000,1313.06,38078.8655,0.04600,0.3000,GREEN
10.0,1492.4903,1492.4903,1309.77,38174.5449,0.04603,0.3002,GREEN
20.1,1489.3790,1489.3790,1308.41,38214.3978,0.04606,0.3007,GREEN
30.1,1486.9908,1486.9908,1307.36,38245.0725,0.04609,0.3012,GREEN
40.1,1484.9767,1484.9767,1306.47,38271.0002,0.04612,0.3019,GREEN
50.1,1483.2014,1483.2014,1305.69,38293.8969,0.04614,0.3027,GREEN
60.2,1481.5956,1481.5956,1304.98,38314.6431,0.04617,0.3035,GREEN
70.2,1480.1182,1480.1182,1304.33,38333.7615,0.04620,0.3044,GREEN
80.2,1478.7421,1478.7421,1303.73,38351.5928,0.04623,0.3054,GREEN
90.2,1477.4489,1477.4489,1303.16,38368.3738,0.04626,0.3064,GREEN
100.3,1476.2249,1476.2249,1302.62,38384.2766,0.04629,0.3075,GREEN
110.3,1475.0600,1475.0600,1302.10,38399.4314,0.04632,0.3087,GREEN
120.3,1473.9460,1473.9460,1301.61,38413.9392,0.04635,0.3099,GREEN
130.3,1472.8767,1472.8767,1301.14,38427.8804,0.04637,0.3112,GREEN
140.4,1471.8470,1471.8470,1300.68,38441.3201,0.04640,0.3125,GREEN
150.4,1470.8526,1470.8526,1300.24,38454.3121,0.04643,0.3138,GREEN
160.4,1469.8901,1469.8901,1299.82,38466.9013,0.04646,0.3153,GREEN
170.4,1468.9563,1468.9563,1299.41,38479.1255,0.04649,0.3167,GREEN
180.5,1468.0488,1468.0488,1299.00,38491.0173,0.04652,0.3182,GREEN
190.5,1467.1653,1467.1653,1298.61,38502.6047,0.04655,0.3197,GREEN
200.5,1466.3039,1466.3039,1298.23,38513.9120,0.04658,0.3213,GREEN
210.5,1465.4630,1465.4630,1297.86,38524.9606,0.04660,0.3229,GREEN
220.6,1464.6410,1464.6410,1297.50,38535.7694,0.04663,0.3246,GREEN
230.6,1463.8367,1463.8367,1297.14,38546.3550,0.04666,0.3263,GREEN
240.6,1463.0488,1463.0488,1296.79,38556.7323,0.04669,0.3280,GREEN
