K_eff_MPa,eta_Rek_V0.5L,eta_Rek_V1.0L,eta_Rek_V2.0L,eta_Rek_V5.0L
500.00,0.9980,0.9990,0.9995,0.9998
506.69,0.9980,0.9990,0.9995,0.9998
513.38,0.9981,0.9990,0.9995,0.9998
520.07,0.9981,0.9990,0.9995,0.9998
526.76,0.9981,0.9991,0.9995,0.9998
533.44,0.9981,0.9991,0.9995,0.9998
540.13,0.9982,0.9991,0.9995,0.9998
546.82,0.9982,0.9991,0.9995,0.9998
553.51,0.9982,0.9991,0.9995,0.9998
560.20,0.9982,0.9991,0.9996,0.9998
566.89,0.9982,0.9991,0.9996,0.9998
573.58,0.9983,0.9991,0.9996,0.9998
580.27,0.9983,0.9991,0.9996,0.9998
586.96,0.9983,0.9991,0.9996,0.9998
593.65,0.9983,0.9992,0.9996,0.9998
600.33,0.9983,0.9992,0.9996,0.9998
607.02,0.9984,0.9992,0.9996,0.9998
613.71,0.9984,0.9992,0.9996,0.9998
620.40,0.9984,0.9992,0.9996,0.9998
627.09,0.9984,0.9992,0.9996,0.9998
633.78,0.9984,0.9992,0.9996,0.9998
640.47,0.9984,0.9992,0.9996,0.9998
647.16,0.9985,0.9992,0.9996,0.9998
653.85,0.9985,0.9992,0.9996,0.9998
660.54,0.9985,0.9992,0.9996,0.9998
667.22,0.9985,0.9993,0.9996,0.9999
673.91,0.9985,0.9993,0.9996,0.9999
680.60,0.9985,0.9993,0.9996,0.9999
687.29,0.9985,0.9993,0.9996,0.9999
693.98,0.9986,0.9993,0.9996,0.9999
700.67,0.9986,0.9993,0.9996,0.9999
707.36,0.9986,0.9993,0.9996,0.9999
714.05,0.9986,0.9993,0.9997,0.9999
720.74,0.9986,0.9993,0.9997,0.9999
727.42,0.9986,0.9993,0.9997,0.9999
734.11,0.9986,0.9993,0.9997,0.9999
740.80,0.9987,0.9993,0.9997,0.9999
747.49,0.9987,0.9993,0.9997,0.9999
754.18,0.9987,0.9993,0.9997,0.9999
760.87,0.9987,0.9993,0.9997,0.9999
767.56,0.9987,0.9993,0.9997,0.9999
774.25,0.9987,0.9994,0.9997,0.9999
780.94,0.9987,0.9994,0.9997,0.9999
787.63,0.9987,0.9994,0.9997,0.9999
794.31,0.9987,0.9994,0.9997,0.9999
801.00,0.9988,0.9994,0.9997,0.9999
807.69,0.9988,0.9994,0.9997,0.9999
814.38,0.9988,0.9994,0.9997,0.9999
821.07,0.9988,0.9994,0.9997,0.9999
827.76,0.9988,0.9994,0.9997,0.9999
834.45,0.9988,0.9994,0.9997,0.9999
841.14,0.9988,0.9994,0.9997,0.9999
847.83,0.9988,0.9994,0.9997,0.9999
854.52,0.9988,0.9994,0.9997,0.9999
861.20,0.9988,0.9994,0.9997,0.9999
867.89,0.9988,0.9994,0.9997,0.9999
874.58,0.9989,0.9994,0.9997,0.9999
