t_h,eta_schneller Abbau  (τ=200 h)_Pas,eta_mittlerer Abbau  (τ=500 h)_Pas,eta_langsamer Abbau  (τ=1000 h)_Pas,eta_sehr langsam     (τ=2000 h)_Pas,K_alt_schneller Abbau  (τ=200 h)_MPa,K_alt_mittlerer Abbau  (τ=500 h)_MPa,K_alt_langsamer Abbau  (τ=1000 h)_MPa,K_alt_sehr langsam     (τ=2000 h)_MPa
0.0,0.04600,0.04600,0.04600,0.04600,1500.0000,1500.0000,1500.0000,1500.0000
10.0,0.04497,0.04558,0.04579,0.04589,1466.3721,1478.5722,1484.8103,1489.2458
20.1,0.04400,0.04517,0.04558,0.04579,1453.0284,1469.8474,1478.5722,1484.8103
30.1,0.04307,0.04477,0.04538,0.04569,1443.1738,1463.2540,1473.8218,1481.4197
40.1,0.04218,0.04438,0.04517,0.04558,1435.1768,1457.7792,1469.8474,1478.5722
50.2,0.04134,0.04400,0.04497,0.04548,1428.3950,1453.0284,1466.3721,1476.0729
60.2,0.04054,0.04362,0.04477,0.04538,1422.4937,1448.7979,1463.2540,1473.8218
70.2,0.03978,0.04325,0.04458,0.04528,1417.2708,1444.9662,1460.4081,1471.7596
80.3,0.03906,0.04289,0.04438,0.04517,1412.5924,1441.4534,1457.7792,1469.8474
90.3,0.03837,0.04253,0.04419,0.04507,1408.3644,1438.2039,1455.3287,1468.0581
100.3,0.03772,0.04218,0.04400,0.04497,1404.5167,1435.1768,1453.0284,1466.3721
110.4,0.03709,0.04184,0.04381,0.04487,1400.9960,1432.3412,1450.8570,1464.7746
120.4,0.03650,0.04151,0.04362,0.04477,1397.7600,1429.6728,1448.7979,1463.2540
130.4,0.03594,0.04118,0.04343,0.04467,1394.7745,1427.1521,1446.8379,1461.8010
140.5,0.03540,0.04086,0.04325,0.04458,1392.0117,1424.7635,1444.9662,1460.4081
150.5,0.03489,0.04054,0.04307,0.04448,1389.4482,1422.4937,1443.1738,1459.0692
160.5,0.03441,0.04023,0.04289,0.04438,1387.0640,1420.3317,1441.4534,1457.7792
170.6,0.03395,0.03993,0.04271,0.04428,1384.8423,1418.2682,1439.7986,1456.5336
180.6,0.03351,0.03963,0.04253,0.04419,1382.7684,1416.2950,1438.2039,1455.3287
190.6,0.03310,0.03934,0.04236,0.04409,1380.8294,1414.4051,1436.6647,1454.1612
200.7,0.03270,0.03906,0.04218,0.04400,1379.0141,1412.5924,1435.1768,1453.0284
210.7,0.03232,0.03878,0.04201,0.04390,1377.3126,1410.8515,1433.7367,1451.9277
220.7,0.03196,0.03850,0.04184,0.04381,1375.7159,1409.1776,1432.3412,1450.8570
230.8,0.03162,0.03824,0.04167,0.04371,1374.2161,1407.5663,1430.9874,1449.8143
240.8,0.03130,0.03797,0.04151,0.04362,1372.8062,1406.0139,1429.6728,1448.7979
250.8,0.03099,0.03772,0.04134,0.04352,1371.4795,1404.5167,1428.3950,1447.8063
260.9,0.03070,0.03746,0.04118,0.04343,1370.2304,1403.0718,1427.1521,1446.8379
270.9,0.03042,0.03722,0.04102,0.04334,1369.0535,1401.6762,1425.9422,1445.8916
280.9,0.03015,0.03697,0.04086,0.04325,1367.9438,1400.3272,1424.7635,1444.9662
291.0,0.02990,0.03674,0.04070,0.04316,1366.8971,1399.0225,1423.6145,1444.0606
301.0,0.02966,0.03650,0.04054,0.04307,1365.9091,1397.7600,1422.4937,1443.1738
311.0,0.02943,0.03627,0.04039,0.04298,1364.9762,1396.5374,1421.3999,1442.3051
321.1,0.02922,0.03605,0.04023,0.04289,1364.0949,1395.3530,1420.3317,1441.4534
331.1,0.02901,0.03583,0.04008,0.04280,1363.2619,1394.2050,1419.2882,1440.6182
341.1,0.02881,0.03561,0.03993,0.04271,1362.4745,1393.0917,1418.2682,1439.7986
351.2,0.02863,0.03540,0.03978,0.04262,1361.7297,1392.0117,1417.2708,1438.9940
361.2,0.02845,0.03520,0.03963,0.04253,1361.0250,1390.9636,1416.2950,1438.2039
371.2,0.02828,0.03499,0.03949,0.04244,1360.3581,1389.9460,1415.3400,1437.4276
381.3,0.02812,0.03480,0.03934,0.04236,1359.7268,1388.9576,1414.4051,1436.6647
391.3,0.02797,0.03460,0.03920,0.04227,1359.1290,1387.9973,1413.4895,1435.9146
401.3,0.02782,0.03441,0.03906,0.04218,1358.5628,1387.0640,1412.5924,1435.1768
411.4,0.02768,0.03422,0.03892,0.04210,1358.0264,1386.1567,1411.7133,1434.4510
421.4,0.02755,0.03404,0.03878,0.04201,1357.5181,1385.2744,1410.8515,1433.7367
431.4,0.02743,0.03386,0.03864,0.04193,1357.0364,1384.4161,1410.0065,1433.0336
441.5,0.02731,0.03368,0.03850,0.04184,1356.5797,1383.5811,1409.1776,1432.3412
451.5,0.02720,0.03351,0.03837,0.04176,1356.1468,1382.7684,1408.3644,1431.6593
461.5,0.02709,0.03334,0.03824,0.04167,1355.7362,1381.9772,1407.5663,1430.9874
471.6,0.02699,0.03318,0.03810,0.04159,1355.3468,1381.2069,1406.7830,1430.3253
481.6,0.02689,0.03301,0.03797,0.04151,1354.9774,1380.4568,1406.0139,1429.6728
491.6,0.02680,0.03286,0.03784,0.04142,1354.6270,1379.7260,1405.2586,1429.0294
501.7,0.02671,0.03270,0.03772,0.04134,1354.2944,1379.0141,1404.5167,1428.3950
511.7,0.02663,0.03255,0.03759,0.04126,1353.9789,1378.3204,1403.7879,1427.7694
521.7,0.02655,0.03240,0.03746,0.04118,1353.6794,1377.6442,1403.0718,1427.1521
531.8,0.02647,0.03225,0.03734,0.04110,1353.3952,1376.9851,1402.3680,1426.5432
541.8,0.02640,0.03211,0.03722,0.04102,1353.1254,1376.3425,1401.6762,1425.9422
551.8,0.02633,0.03196,0.03709,0.04094,1352.8692,1375.7159,1400.9960,1425.3490
561.9,0.02627,0.03183,0.03697,0.04086,1352.6260,1375.1048,1400.3272,1424.7635
571.9,0.02620,0.03169,0.03685,0.04078,1352.3950,1374.5087,1399.6695,1424.1854
581.9,0.02614,0.03156,0.03674,0.04070,1352.1757,1373.9272,1399.0225,1423.6145
592.0,0.02609,0.03143,0.03662,0.04062,1351.9674,1373.3598,1398.3861,1423.0506
