Ea_J_mol,T_degC,k_ratio
30000.0,-10.15,0.19960507
30000.0,-5.89,0.24840608
30000.0,-1.63,0.30702356
30000.0,2.63,0.37699729
30000.0,6.89,0.4600357
30000.0,11.15,0.55802494
30000.0,15.41,0.67303747
30000.0,19.67,0.80734009
30000.0,23.94,0.96340155
30000.0,28.2,1.14389942
30000.0,32.46,1.3517264
30000.0,36.72,1.58999583
30000.0,40.98,1.86204655
30000.0,45.24,2.17144698
30000.0,49.5,2.52199835
30000.0,53.76,2.91773723
30000.0,58.02,3.3629372
30000.0,62.28,3.8621097
30000.0,66.54,4.42000412
30000.0,70.8,5.04160708
50000.0,-10.15,0.06817408
50000.0,-5.89,0.09816056
50000.0,-1.63,0.13972888
50000.0,2.63,0.19674198
50000.0,6.89,0.27414851
50000.0,11.15,0.37823004
50000.0,15.41,0.51689072
50000.0,19.67,0.6999938
50000.0,23.94,0.93974978
50000.0,28.2,1.25116062
50000.0,32.46,1.65252483
50000.0,36.72,2.16600759
50000.0,40.98,2.81828055
50000.0,45.24,3.64123505
50000.0,49.5,4.67277277
50000.0,53.76,5.95767712
50000.0,58.02,7.54856843
50000.0,62.28,9.50694561
50000.0,66.54,11.90431627
50000.0,70.8,14.82341698
70000.0,-10.15,0.02328451
70000.0,-5.89,0.03878929
70000.0,-1.63,0.06359173
70000.0,2.63,0.10267291
70000.0,6.89,0.16337299
70000.0,11.15,0.25636482
70000.0,15.41,0.3969705
70000.0,19.67,0.60692059
70000.0,23.94,0.91667867
70000.0,28.2,1.3684795
70000.0,32.46,2.02025965
70000.0,36.72,2.95069257
70000.0,40.98,4.26557824
70000.0,45.24,6.1058791
70000.0,49.5,8.65773977
70000.0,53.76,12.16487771
70000.0,58.02,16.94378511
70000.0,62.28,23.40223914
70000.0,66.54,32.06167736
70000.0,70.8,43.58405718
90000.0,-10.15,0.0079527
90000.0,-5.89,0.01532804
90000.0,-1.63,0.02894111
90000.0,2.63,0.05358148
90000.0,6.89,0.09735866
90000.0,11.15,0.17376441
90000.0,15.41,0.30487213
90000.0,19.67,0.52622267
90000.0,23.94,0.89417396
90000.0,28.2,1.49679913
90000.0,32.46,2.46982616
90000.0,36.72,4.01964734
90000.0,40.98,6.45612011
90000.0,45.24,10.23876762
90000.0,49.5,16.04110911
90000.0,53.76,24.83925308
90000.0,58.02,38.03262254
90000.0,62.28,57.60680866
90000.0,66.54,86.35112938
90000.0,70.8,128.14656989
