T_degC,t_days,delta_nm
5.0,0.0,0.0
5.0,18.26,0.112717
5.0,36.519,0.159405
5.0,54.779,0.195231
5.0,73.038,0.225433
5.0,91.298,0.252042
5.0,109.558,0.276098
5.0,127.817,0.29822
5.0,146.077,0.318811
5.0,164.336,0.33815
5.0,182.596,0.356441
5.0,200.856,0.373839
5.0,219.115,0.390462
5.0,237.375,0.406406
5.0,255.634,0.421747
5.0,273.894,0.43655
5.0,292.154,0.450867
5.0,310.413,0.464743
5.0,328.673,0.478216
5.0,346.932,0.491321
15.0,0.0,0.0
15.0,18.26,0.164096
15.0,36.519,0.232066
15.0,54.779,0.284222
15.0,73.038,0.328191
15.0,91.298,0.366929
15.0,109.558,0.40195
15.0,127.817,0.434156
15.0,146.077,0.464132
15.0,164.336,0.492287
15.0,182.596,0.518916
15.0,200.856,0.544243
15.0,219.115,0.568444
15.0,237.375,0.591655
15.0,255.634,0.613989
15.0,273.894,0.635539
15.0,292.154,0.656382
15.0,310.413,0.676583
15.0,328.673,0.696198
15.0,346.932,0.715276
25.0,0.0,0.0
25.0,18.26,0.232948
25.0,36.519,0.329438
25.0,54.779,0.403477
25.0,73.038,0.465896
25.0,91.298,0.520887
25.0,109.558,0.570603
25.0,127.817,0.616322
25.0,146.077,0.658876
25.0,164.336,0.698843
25.0,182.596,0.736646
25.0,200.856,0.7726
25.0,219.115,0.806955
25.0,237.375,0.839905
25.0,255.634,0.871611
25.0,273.894,0.902203
25.0,292.154,0.931791
25.0,310.413,0.960468
25.0,328.673,0.988314
25.0,346.932,1.015396
35.0,0.0,0.0
35.0,18.26,0.323251
35.0,36.519,0.457146
35.0,54.779,0.559887
35.0,73.038,0.646502
35.0,91.298,0.722811
35.0,109.558,0.7918
35.0,127.817,0.855241
35.0,146.077,0.914291
35.0,164.336,0.969753
35.0,182.596,1.022209
35.0,200.856,1.072102
35.0,219.115,1.119774
35.0,237.375,1.165498
35.0,255.634,1.209494
35.0,273.894,1.251945
35.0,292.154,1.293003
35.0,310.413,1.332797
35.0,328.673,1.371437
35.0,346.932,1.409018
45.0,0.0,0.0
45.0,18.26,0.439412
45.0,36.519,0.621423
45.0,54.779,0.761085
45.0,73.038,0.878825
45.0,91.298,0.982556
45.0,109.558,1.076336
45.0,127.817,1.162576
45.0,146.077,1.242846
45.0,164.336,1.318237
45.0,182.596,1.389544
45.0,200.856,1.457366
45.0,219.115,1.522169
45.0,237.375,1.584324
45.0,255.634,1.644131
45.0,273.894,1.701837
45.0,292.154,1.75765
45.0,310.413,1.811744
45.0,328.673,1.864269
45.0,346.932,1.915354
