beta_UV_1_V,V_V,rate
5.0,1.9,0.1908553692
5.0,1.9602,0.1386854816
5.0,2.0203,0.1000661263
5.0,2.0805,0.0714777074
5.0,2.1406,0.0503148037
5.0,2.2008,0.0346487225
5.0,2.2609,0.0230517269
5.0,2.3211,0.0144669184
5.0,2.3812,0.0081119158
5.0,2.4414,0.0034075526
5.0,2.5015,0.0
5.0,2.5617,0.0
5.0,2.6218,0.0
5.0,2.682,0.0
5.0,2.7421,0.0
5.0,2.8023,0.0
5.0,2.8624,0.0
5.0,2.9226,0.0
5.0,2.9827,0.0
5.0,3.0429,0.0
10.0,1.9,4.0242879349
10.0,1.9602,2.2007372443
10.0,2.0203,1.2014552164
10.0,2.0805,0.6538616802
10.0,2.1406,0.3537875544
10.0,2.2008,0.1893508417
10.0,2.2609,0.0992416648
10.0,2.3211,0.0498630095
10.0,2.3812,0.0228041495
10.0,2.4414,0.0079762467
10.0,2.5015,0.0
10.0,2.5617,0.0
10.0,2.6218,0.0
10.0,2.682,0.0
10.0,2.7421,0.0
10.0,2.8023,0.0
10.0,2.8624,0.0
10.0,2.9226,0.0
10.0,2.9827,0.0
10.0,3.0429,0.0
20.0,1.9,1627.53791419
20.0,1.9602,488.7259163415
20.0,2.0203,146.7523741456
20.0,2.0805,44.0612330415
20.0,2.1406,13.2241384712
20.0,2.2008,3.9640758083
20.0,2.2609,1.1833741335
20.0,2.3211,0.3483579909
20.0,2.3812,0.0976112227
20.0,2.4414,0.0223145445
20.0,2.5015,0.0
20.0,2.5617,0.0
20.0,2.6218,0.0
20.0,2.682,0.0
20.0,2.7421,0.0
20.0,2.8023,0.0
20.0,2.8624,0.0
20.0,2.9226,0.0
20.0,2.9827,0.0
20.0,3.0429,0.0
40.0,1.9,264891221.28843567
40.0,1.9602,23886279.582220726
40.0,2.0203,2153919.4364845403
40.0,2.0805,194227.3481799326
40.0,2.1406,17514.2321073947
40.0,2.2008,1579.3178530425
40.0,2.2609,142.4041822467
40.0,2.3211,12.8320449661
40.0,2.3812,1.1480175254
40.0,2.4414,0.0944229788
40.0,2.5015,0.0
40.0,2.5617,0.0
40.0,2.6218,0.0
40.0,2.682,0.0
40.0,2.7421,0.0
40.0,2.8023,0.0
40.0,2.8624,0.0
40.0,2.9226,0.0
40.0,2.9827,0.0
40.0,3.0429,0.0
