T_degC,I_A,Q_W
-5.0,0.0,0.0
-5.0,0.401,-0.002702
-5.0,0.803,0.010703
-5.0,1.204,0.040215
-5.0,1.605,0.085834
-5.0,2.007,0.147561
-5.0,2.408,0.225395
-5.0,2.809,0.319335
-5.0,3.211,0.429384
-5.0,3.612,0.555539
-5.0,4.013,0.697802
-5.0,4.415,0.856171
-5.0,4.816,1.030648
-5.0,5.217,1.221233
-5.0,5.619,1.427924
-5.0,6.02,1.650722
-5.0,6.421,1.889628
-5.0,6.823,2.144641
-5.0,7.224,2.415761
-5.0,7.625,2.702989
10.0,0.0,0.0
10.0,0.401,-0.003304
10.0,0.803,0.009499
10.0,1.204,0.038409
10.0,1.605,0.083426
10.0,2.007,0.144551
10.0,2.408,0.221782
10.0,2.809,0.315121
10.0,3.211,0.424568
10.0,3.612,0.550121
10.0,4.013,0.691782
10.0,4.415,0.849549
10.0,4.816,1.023424
10.0,5.217,1.213406
10.0,5.619,1.419496
10.0,6.02,1.641692
10.0,6.421,1.879996
10.0,6.823,2.134407
10.0,7.224,2.404925
10.0,7.625,2.691551
25.0,0.0,0.0
25.0,0.401,-0.003906
25.0,0.803,0.008295
25.0,1.204,0.036603
25.0,1.605,0.081018
25.0,2.007,0.141541
25.0,2.408,0.21817
25.0,2.809,0.310907
25.0,3.211,0.419752
25.0,3.612,0.544703
25.0,4.013,0.685761
25.0,4.415,0.842927
25.0,4.816,1.0162
25.0,5.217,1.20558
25.0,5.619,1.411068
25.0,6.02,1.632662
25.0,6.421,1.870364
25.0,6.823,2.124173
25.0,7.224,2.394089
25.0,7.625,2.680113
40.0,0.0,0.0
40.0,0.401,-0.004508
40.0,0.803,0.007091
40.0,1.204,0.034797
40.0,1.605,0.07861
40.0,2.007,0.138531
40.0,2.408,0.214558
40.0,2.809,0.306693
40.0,3.211,0.414935
40.0,3.612,0.539285
40.0,4.013,0.679741
40.0,4.415,0.836305
40.0,4.816,1.008976
40.0,5.217,1.197754
40.0,5.619,1.40264
40.0,6.02,1.623632
40.0,6.421,1.860732
40.0,6.823,2.113939
40.0,7.224,2.383253
40.0,7.625,2.668674
55.0,0.0,0.0
55.0,0.401,-0.00511
55.0,0.803,0.005887
55.0,1.204,0.032991
55.0,1.605,0.076202
55.0,2.007,0.135521
55.0,2.408,0.210946
55.0,2.809,0.302479
55.0,3.211,0.410119
55.0,3.612,0.533867
55.0,4.013,0.673721
55.0,4.415,0.829683
55.0,4.816,1.001752
55.0,5.217,1.189928
55.0,5.619,1.394212
55.0,6.02,1.614602
55.0,6.421,1.8511
55.0,6.823,2.103705
55.0,7.224,2.372417
55.0,7.625,2.657236
