I_A,t_s,T_degC
0.5,0.0,24.85
0.5,60.0,24.8473
0.5,120.0,24.8455
0.5,180.0,24.8443
0.5,240.0,24.8434
0.5,300.0,24.8428
0.5,360.0,24.8424
0.5,420.0,24.8422
0.5,480.0,24.842
0.5,540.0,24.8419
0.5,600.0,24.8418
0.5,660.0,24.8417
0.5,720.0,24.8417
0.5,780.0,24.8417
0.5,840.0,24.8416
0.5,900.0,24.8416
0.5,960.0,24.8416
0.5,1020.0,24.8416
0.5,1080.0,24.8416
0.5,1140.0,24.8416
0.5,1200.0,24.8416
0.5,1260.0,24.8416
0.5,1320.0,24.8416
0.5,1380.0,24.8416
0.5,1440.0,24.8416
0.5,1500.0,24.8416
0.5,1560.0,24.8416
0.5,1620.0,24.8416
0.5,1680.0,24.8416
0.5,1740.0,24.8416
0.5,1800.0,24.8416
0.5,1860.0,24.8416
0.5,1920.0,24.8416
0.5,1980.0,24.8416
0.5,2040.0,24.8416
0.5,2100.0,24.8416
0.5,2160.0,24.8416
0.5,2220.0,24.8416
0.5,2280.0,24.8416
0.5,2340.0,24.8416
0.5,2400.0,24.8416
0.5,2460.0,24.8416
0.5,2520.0,24.8416
0.5,2580.0,24.8416
0.5,2640.0,24.8416
0.5,2700.0,24.8416
0.5,2760.0,24.8416
0.5,2820.0,24.8416
0.5,2880.0,24.8416
0.5,2940.0,24.8416
0.5,3000.0,24.8416
0.5,3060.0,24.8416
0.5,3120.0,24.8416
0.5,3180.0,24.8416
0.5,3240.0,24.8416
0.5,3300.0,24.8416
0.5,3360.0,24.8416
0.5,3420.0,24.8416
0.5,3480.0,24.8416
0.5,3540.0,24.8416
0.5,3600.0,24.8416
1.0,0.0,24.85
1.0,60.0,24.8725
1.0,120.0,24.8878
1.0,180.0,24.8982
1.0,240.0,24.9054
1.0,300.0,24.9102
1.0,360.0,24.9135
1.0,420.0,24.9158
1.0,480.0,24.9174
1.0,540.0,24.9184
1.0,600.0,24.9191
1.0,660.0,24.9196
1.0,720.0,24.92
1.0,780.0,24.9202
1.0,840.0,24.9203
1.0,900.0,24.9204
1.0,960.0,24.9205
1.0,1020.0,24.9206
1.0,1080.0,24.9206
1.0,1140.0,24.9206
1.0,1200.0,24.9206
1.0,1260.0,24.9207
1.0,1320.0,24.9207
1.0,1380.0,24.9207
1.0,1440.0,24.9207
1.0,1500.0,24.9207
1.0,1560.0,24.9207
1.0,1620.0,24.9207
1.0,1680.0,24.9207
1.0,1740.0,24.9207
1.0,1800.0,24.9207
1.0,1860.0,24.9207
1.0,1920.0,24.9207
1.0,1980.0,24.9207
1.0,2040.0,24.9207
1.0,2100.0,24.9207
1.0,2160.0,24.9207
1.0,2220.0,24.9207
1.0,2280.0,24.9207
1.0,2340.0,24.9207
1.0,2400.0,24.9207
1.0,2460.0,24.9207
1.0,2520.0,24.9207
1.0,2580.0,24.9207
1.0,2640.0,24.9207
