T_static_K,T_AI_degC,phi_T
298.0,-10.15,14.668331
298.0,-7.39,11.568443
298.0,-4.63,9.168285
298.0,-1.87,7.30055
298.0,0.89,5.840033
298.0,3.65,4.692537
298.0,6.41,3.786828
298.0,9.16,3.068766
298.0,11.92,2.497007
298.0,14.68,2.039822
298.0,17.44,1.672757
298.0,20.2,1.376874
298.0,22.96,1.137446
298.0,25.72,0.942974
298.0,28.48,0.784437
298.0,31.24,0.654735
298.0,34.0,0.548256
298.0,36.76,0.460547
298.0,39.52,0.388062
298.0,42.27,0.327966
308.0,-10.15,28.245091
308.0,-7.39,22.275999
308.0,-4.63,17.654295
308.0,-1.87,14.057816
308.0,0.89,11.245469
308.0,3.65,9.03587
308.0,6.41,7.291851
308.0,9.16,5.909164
308.0,11.92,4.808194
308.0,14.68,3.927847
308.0,17.44,3.221032
308.0,20.2,2.651285
308.0,22.96,2.190247
308.0,25.72,1.815774
308.0,28.48,1.510498
308.0,31.24,1.260747
308.0,34.0,1.055713
308.0,36.76,0.886822
308.0,39.52,0.747245
308.0,42.27,0.631526
318.0,-10.15,52.192518
318.0,-7.39,41.162569
318.0,-4.63,32.62238
318.0,-1.87,25.976649
318.0,0.89,20.779871
318.0,3.65,16.696876
318.0,6.41,13.474202
318.0,9.16,10.919213
318.0,11.92,8.884791
318.0,14.68,7.258048
318.0,17.44,5.951965
318.0,20.2,4.89916
318.0,22.96,4.047235
318.0,25.72,3.355267
318.0,28.48,2.791165
318.0,31.24,2.329664
318.0,34.0,1.950793
318.0,36.76,1.638709
318.0,39.52,1.380793
318.0,42.27,1.166961
