Ea_J_mol,delta_T_K,phi_T
30000.0,0.0,1.0
30000.0,1.76,1.069478
30000.0,3.51,1.14467
30000.0,5.27,1.226114
30000.0,7.02,1.314407
30000.0,8.78,1.410208
30000.0,10.54,1.514249
30000.0,12.29,1.627341
30000.0,14.05,1.750385
30000.0,15.8,1.884381
30000.0,17.56,2.030446
30000.0,19.31,2.189821
30000.0,21.07,2.36389
30000.0,22.83,2.554201
30000.0,24.58,2.762482
30000.0,26.34,2.99067
30000.0,28.09,3.240931
30000.0,29.85,3.5157
30000.0,31.61,3.817709
30000.0,33.36,4.150032
50000.0,0.0,1.0
50000.0,1.76,1.118459
50000.0,3.51,1.252566
50000.0,5.27,1.404597
50000.0,7.02,1.577187
50000.0,8.78,1.773395
50000.0,10.54,1.996774
50000.0,12.29,2.25146
50000.0,14.05,2.542275
50000.0,15.8,2.874847
50000.0,17.56,3.255761
50000.0,19.31,3.69273
50000.0,21.07,4.194809
50000.0,22.83,4.772638
50000.0,24.58,5.438751
50000.0,26.34,6.207938
50000.0,28.09,7.097678
50000.0,29.85,8.128673
50000.0,31.61,9.325484
50000.0,33.36,10.717311
70000.0,0.0,1.0
70000.0,1.76,1.169682
70000.0,3.51,1.370631
70000.0,5.27,1.60906
70000.0,7.02,1.892503
70000.0,8.78,2.230117
70000.0,10.54,2.633059
70000.0,12.29,3.114942
70000.0,14.05,3.692423
70000.0,15.8,4.385919
70000.0,17.56,5.220517
70000.0,19.31,6.227112
70000.0,21.07,7.44384
70000.0,22.83,8.917884
70000.0,24.58,10.707766
70000.0,26.34,12.886244
70000.0,28.09,15.544002
70000.0,29.85,18.794358
70000.0,31.61,22.779275
70000.0,33.36,27.677072
90000.0,0.0,1.0
90000.0,1.76,1.223252
90000.0,3.51,1.499826
90000.0,5.27,1.843287
90000.0,7.02,2.270857
90000.0,8.78,2.804464
90000.0,10.54,3.4721
90000.0,12.29,4.309588
90000.0,14.05,5.362909
90000.0,15.8,6.691238
90000.0,17.56,8.370945
90000.0,19.31,10.50088
90000.0,21.07,13.209363
90000.0,22.83,16.663461
90000.0,24.58,21.081357
90000.0,26.34,26.748862
90000.0,28.09,34.041554
90000.0,29.85,43.45456
90000.0,31.61,55.642732
90000.0,33.36,71.475051
