phi_T,gamma_T,phi_combined
1.3,0.01,1.991403
1.3,0.0592,1.949671
1.3,0.1083,1.908813
1.3,0.1575,1.868811
1.3,0.2067,1.829648
1.3,0.2558,1.791305
1.3,0.305,1.753766
1.3,0.3541,1.717014
1.3,0.4033,1.681032
1.3,0.4525,1.645804
1.3,0.5016,1.611314
1.3,0.5508,1.577547
1.3,0.6,1.544487
1.3,0.6491,1.51212
1.3,0.6983,1.480432
1.3,0.7475,1.449408
1.3,0.7966,1.419033
1.3,0.8458,1.389296
1.3,0.8949,1.360181
1.3,0.9441,1.331677
1.5,0.01,1.994255
1.5,0.0592,1.966247
1.5,0.1083,1.938633
1.5,0.1575,1.911407
1.5,0.2067,1.884563
1.5,0.2558,1.858096
1.5,0.305,1.832001
1.5,0.3541,1.806273
1.5,0.4033,1.780905
1.5,0.4525,1.755894
1.5,0.5016,1.731234
1.5,0.5508,1.706921
1.5,0.6,1.682949
1.5,0.6491,1.659314
1.5,0.6983,1.63601
1.5,0.7475,1.613034
1.5,0.7966,1.59038
1.5,0.8458,1.568045
1.5,0.8949,1.546024
1.5,0.9441,1.524311
1.8,0.01,1.997894
1.8,0.0592,1.987572
1.8,0.1083,1.977303
1.8,0.1575,1.967087
1.8,0.2067,1.956924
1.8,0.2558,1.946813
1.8,0.305,1.936755
1.8,0.3541,1.926749
1.8,0.4033,1.916794
1.8,0.4525,1.906891
1.8,0.5016,1.897039
1.8,0.5508,1.887238
1.8,0.6,1.877487
1.8,0.6491,1.867787
1.8,0.6983,1.858137
1.8,0.7475,1.848537
1.8,0.7966,1.838987
1.8,0.8458,1.829485
1.8,0.8949,1.820033
1.8,0.9441,1.81063
2.2,0.01,2.001907
2.2,0.0592,2.01131
2.2,0.1083,2.020756
2.2,0.1575,2.030248
2.2,0.2067,2.039783
2.2,0.2558,2.049364
2.2,0.305,2.058989
2.2,0.3541,2.06866
2.2,0.4033,2.078376
2.2,0.4525,2.088138
2.2,0.5016,2.097945
2.2,0.5508,2.107799
2.2,0.6,2.117699
2.2,0.6491,2.127645
2.2,0.6983,2.137639
2.2,0.7475,2.147679
2.2,0.7966,2.157766
2.2,0.8458,2.167901
2.2,0.8949,2.178083
2.2,0.9441,2.188313
