Q0_Ah,T_degC,Q_derated_Ah
2.0,-40.1,1.16
2.0,-36.1,1.2162
2.0,-32.1,1.2724
2.0,-28.1,1.3286
2.0,-24.1,1.3847
2.0,-20.1,1.4409
2.0,-16.1,1.4971
2.0,-12.1,1.5533
2.0,-8.0,1.6095
2.0,-4.0,1.6657
2.0,-0.0,1.7219
2.0,4.0,1.7781
2.0,8.0,1.8342
2.0,12.0,1.8904
2.0,16.0,1.9466
2.0,20.1,2.0
2.0,24.1,2.0
2.0,28.1,2.0
2.0,32.1,2.0
2.0,36.1,2.0
3.0,-40.1,1.74
3.0,-36.1,1.8243
3.0,-32.1,1.9086
3.0,-28.1,1.9928
3.0,-24.1,2.0771
3.0,-20.1,2.1614
3.0,-16.1,2.2457
3.0,-12.1,2.33
3.0,-8.0,2.4142
3.0,-4.0,2.4985
3.0,-0.0,2.5828
3.0,4.0,2.6671
3.0,8.0,2.7514
3.0,12.0,2.8357
3.0,16.0,2.9199
3.0,20.1,3.0
3.0,24.1,3.0
3.0,28.1,3.0
3.0,32.1,3.0
3.0,36.1,3.0
5.0,-40.1,2.9
5.0,-36.1,3.0405
5.0,-32.1,3.1809
5.0,-28.1,3.3214
5.0,-24.1,3.4619
5.0,-20.1,3.6023
5.0,-16.1,3.7428
5.0,-12.1,3.8833
5.0,-8.0,4.0237
5.0,-4.0,4.1642
5.0,-0.0,4.3047
5.0,4.0,4.4452
5.0,8.0,4.5856
5.0,12.0,4.7261
5.0,16.0,4.8666
5.0,20.1,5.0
5.0,24.1,5.0
5.0,28.1,5.0
5.0,32.1,5.0
5.0,36.1,5.0
10.0,-40.1,5.8
10.0,-36.1,6.0809
10.0,-32.1,6.3619
10.0,-28.1,6.6428
10.0,-24.1,6.9237
10.0,-20.1,7.2047
10.0,-16.1,7.4856
10.0,-12.1,7.7666
10.0,-8.0,8.0475
10.0,-4.0,8.3284
10.0,-0.0,8.6094
10.0,4.0,8.8903
10.0,8.0,9.1712
10.0,12.0,9.4522
10.0,16.0,9.7331
10.0,20.1,10.0
10.0,24.1,10.0
10.0,28.1,10.0
10.0,32.1,10.0
10.0,36.1,10.0
