phi,n_cycles,range_km
1.0,0.0,400.0
1.0,75.0,378.069
1.0,150.0,368.985
1.0,225.0,362.015
1.0,301.0,356.138
1.0,376.0,350.961
1.0,451.0,346.281
1.0,526.0,341.976
1.0,601.0,337.97
1.0,676.0,334.207
1.0,752.0,330.649
1.0,827.0,327.264
1.0,902.0,324.029
1.0,977.0,320.927
1.0,1052.0,317.942
1.0,1127.0,315.062
1.0,1202.0,312.277
1.0,1278.0,309.577
1.0,1353.0,306.955
1.0,1428.0,304.406
1.5,0.0,400.0
1.5,75.0,382.094
1.5,150.0,374.676
1.5,225.0,368.985
1.5,301.0,364.187
1.5,376.0,359.96
1.5,451.0,356.138
1.5,526.0,352.624
1.5,601.0,349.353
1.5,676.0,346.281
1.5,752.0,343.375
1.5,827.0,340.611
1.5,902.0,337.97
1.5,977.0,335.437
1.5,1052.0,333.0
1.5,1127.0,330.649
1.5,1202.0,328.374
1.5,1278.0,326.17
1.5,1353.0,324.029
1.5,1428.0,321.948
2.0,0.0,400.0
2.0,75.0,384.493
2.0,150.0,378.069
2.0,225.0,373.14
2.0,301.0,368.985
2.0,376.0,365.324
2.0,451.0,362.015
2.0,526.0,358.971
2.0,601.0,356.138
2.0,676.0,353.478
2.0,752.0,350.961
2.0,827.0,348.568
2.0,902.0,346.281
2.0,977.0,344.087
2.0,1052.0,341.976
2.0,1127.0,339.94
2.0,1202.0,337.97
2.0,1278.0,336.061
2.0,1353.0,334.207
2.0,1428.0,332.405
3.0,0.0,400.0
3.0,75.0,387.338
3.0,150.0,382.094
3.0,225.0,378.069
3.0,301.0,374.676
3.0,376.0,371.687
3.0,451.0,368.985
3.0,526.0,366.5
3.0,601.0,364.187
3.0,676.0,362.015
3.0,752.0,359.96
3.0,827.0,358.006
3.0,902.0,356.138
3.0,977.0,354.347
3.0,1052.0,352.624
3.0,1127.0,350.961
3.0,1202.0,349.353
3.0,1278.0,347.794
3.0,1353.0,346.281
3.0,1428.0,344.809
