m_mech,sigma_ratio,rate
1.5,0.0,0.0
1.5,0.2256,0.0
1.5,0.4511,0.0
1.5,0.6767,0.0
1.5,0.9023,0.0
1.5,1.1278,0.04569787
1.5,1.3534,0.21007256
1.5,1.5789,0.4405129
1.5,1.8045,0.72160279
1.5,2.0301,1.04545029
1.5,2.2556,1.4070102
1.5,2.4812,1.80269344
1.5,2.7068,2.22977645
1.5,2.9323,2.68610029
1.5,3.1579,3.1698987
1.5,3.3835,3.67969169
1.5,3.609,4.2142156
1.5,3.8346,4.77237502
1.5,4.0602,5.35320842
1.5,4.2857,5.95586293
2.0,0.0,0.0
2.0,0.2256,0.0
2.0,0.4511,0.0
2.0,0.6767,0.0
2.0,0.9023,0.0
2.0,1.1278,0.01633784
2.0,1.3534,0.12487987
2.0,1.5789,0.33518006
2.0,1.8045,0.6472384
2.0,2.0301,1.06105489
2.0,2.2556,1.57662954
2.0,2.4812,2.19396235
2.0,2.7068,2.91305331
2.0,2.9323,3.73390243
2.0,3.1579,4.6565097
2.0,3.3835,5.68087512
2.0,3.609,6.8069987
2.0,3.8346,8.03488043
2.0,4.0602,9.36452032
2.0,4.2857,10.79591837
2.5,0.0,0.0
2.5,0.2256,0.0
2.5,0.4511,0.0
2.5,0.6767,0.0
2.5,0.9023,0.0
2.5,1.1278,0.00584108
2.5,1.3534,0.07423617
2.5,1.5789,0.25503378
2.5,1.8045,0.58053758
2.5,2.0301,1.07689241
2.5,2.2556,1.76669702
2.5,2.4812,2.67015494
2.5,2.7068,3.80570868
2.5,2.9323,5.19043439
2.5,3.1579,6.84030772
2.5,3.3835,8.77039297
2.5,3.609,10.99498357
2.5,3.8346,13.52770964
2.5,4.0602,16.38162276
2.5,4.2857,19.5692639
3.5,0.0,0.0
3.5,0.2256,0.0
3.5,0.4511,0.0
3.5,0.6767,0.0
3.5,0.9023,0.0
3.5,1.1278,0.0007466
3.5,1.3534,0.02623383
3.5,1.5789,0.14765114
3.5,1.8045,0.46704903
3.5,2.0301,1.10928015
3.5,2.2556,2.21833385
3.5,2.4812,3.95504153
3.5,2.7068,6.49545767
3.5,2.9323,10.02963638
3.5,3.1579,14.76066403
3.5,3.3835,20.90386897
3.5,3.609,28.68616013
3.5,3.8346,38.34546268
3.5,4.0602,50.13022904
3.5,4.2857,64.29900997
