rho_M,phi_base,phi_ges
0.05,1.0,1.040039
0.05,1.2007,1.245752
0.05,1.4013,1.450482
0.05,1.602,1.654236
0.05,1.8027,1.857021
0.05,2.0033,2.058844
0.05,2.204,2.259712
0.05,2.4047,2.459631
0.05,2.6054,2.658609
0.05,2.806,2.856651
0.05,3.0067,3.053765
0.05,3.2074,3.249957
0.05,3.408,3.445234
0.05,3.6087,3.639601
0.05,3.8094,3.833065
0.05,4.01,4.025633
0.05,4.2107,4.21731
0.05,4.4114,4.408103
0.05,4.612,4.598018
0.05,4.8127,4.787061
0.1,1.0,1.083418
0.1,1.2007,1.294353
0.1,1.4013,1.503198
0.1,1.602,1.709986
0.1,1.8027,1.914745
0.1,2.0033,2.117507
0.1,2.204,2.318299
0.1,2.4047,2.51715
0.1,2.6054,2.714089
0.1,2.806,2.909143
0.1,3.0067,3.102339
0.1,3.2074,3.293703
0.1,3.408,3.483262
0.1,3.6087,3.67104
0.1,3.8094,3.857062
0.1,4.01,4.041354
0.1,4.2107,4.223938
0.1,4.4114,4.40484
0.1,4.612,4.584081
0.1,4.8127,4.761685
0.15,1.0,1.130573
0.15,1.2007,1.346899
0.15,1.4013,1.559891
0.15,1.602,1.769624
0.15,1.8027,1.976173
0.15,2.0033,2.17961
0.15,2.204,2.380004
0.15,2.4047,2.577424
0.15,2.6054,2.771935
0.15,2.806,2.963601
0.15,3.0067,3.152483
0.15,3.2074,3.338643
0.15,3.408,3.522139
0.15,3.6087,3.703026
0.15,3.8094,3.881362
0.15,4.01,4.057198
0.15,4.2107,4.230588
0.15,4.4114,4.401581
0.15,4.612,4.570229
0.15,4.8127,4.736577
0.25,1.0,1.238372
0.25,1.2007,1.465923
0.25,1.4013,1.687152
0.25,1.602,1.902317
0.25,1.8027,2.111664
0.25,2.0033,2.315426
0.25,2.204,2.513824
0.25,2.4047,2.707067
0.25,2.6054,2.895352
0.25,2.806,3.07887
0.25,3.0067,3.257797
0.25,3.2074,3.432305
0.25,3.408,3.602556
0.25,3.6087,3.768702
0.25,3.8094,3.930891
0.25,4.01,4.089262
0.25,4.2107,4.243949
0.25,4.4114,4.395079
0.25,4.612,4.542773
0.25,4.8127,4.687146
