eta_M,rho_M,phi_ges
0.1,0.0,2.0
0.1,0.0502,2.083624
0.1,0.1003,2.174545
0.1,0.1505,2.273764
0.1,0.2007,2.38247
0.1,0.2508,2.502092
0.1,0.301,2.634361
0.1,0.3512,2.781395
0.1,0.4013,2.945813
0.1,0.4515,3.13089
0.1,0.5017,3.340782
0.1,0.5518,3.580838
0.1,0.602,3.858065
0.1,0.6522,4.181818
0.1,0.7023,4.564885
0.1,0.7525,5.02521
0.1,0.8027,5.588785
0.1,0.8528,6.294737
0.1,0.903,7.204819
0.1,0.9532,8.422535
0.2,0.0,2.0
0.2,0.0502,2.062069
0.2,0.1003,2.128114
0.2,0.1505,2.198529
0.2,0.2007,2.273764
0.2,0.2508,2.354331
0.2,0.301,2.440816
0.2,0.3512,2.533898
0.2,0.4013,2.634361
0.2,0.4515,2.743119
0.2,0.5017,2.861244
0.2,0.5518,2.99
0.2,0.602,3.13089
0.2,0.6522,3.285714
0.2,0.7023,3.456647
0.2,0.7525,3.646341
0.2,0.8027,3.858065
0.2,0.8528,4.09589
0.2,0.903,4.364964
0.2,0.9532,4.671875
0.3,0.0,2.0
0.3,0.0502,2.040956
0.3,0.1003,2.083624
0.3,0.1505,2.128114
0.3,0.2007,2.174545
0.3,0.2508,2.223048
0.3,0.301,2.273764
0.3,0.3512,2.326848
0.3,0.4013,2.38247
0.3,0.4515,2.440816
0.3,0.5017,2.502092
0.3,0.5518,2.566524
0.3,0.602,2.634361
0.3,0.6522,2.705882
0.3,0.7023,2.781395
0.3,0.7525,2.861244
0.3,0.8027,2.945813
0.3,0.8528,3.035533
0.3,0.903,3.13089
0.3,0.9532,3.232432
0.5,0.0,2.0
0.5,0.0502,2.0
0.5,0.1003,2.0
0.5,0.1505,2.0
0.5,0.2007,2.0
0.5,0.2508,2.0
0.5,0.301,2.0
0.5,0.3512,2.0
0.5,0.4013,2.0
0.5,0.4515,2.0
0.5,0.5017,2.0
0.5,0.5518,2.0
0.5,0.602,2.0
0.5,0.6522,2.0
0.5,0.7023,2.0
0.5,0.7525,2.0
0.5,0.8027,2.0
0.5,0.8528,2.0
0.5,0.903,2.0
0.5,0.9532,2.0
