t_s,T_degC,V_V,SoC,degradation,deg_rate_1_s
0.0,24.845,3.34023,0.49909,0.0,0.0
60.0,24.846,3.34596,0.49885,0.0,0.0
120.0,24.842,3.32594,0.49679,0.0,0.0
180.0,24.839,3.32355,0.49483,0.0,0.0
240.0,24.841,3.33714,0.49445,0.0,0.0
300.0,24.848,3.30052,0.4907,0.0,0.0
360.0,24.85,3.29733,0.48726,0.0,0.0
420.0,24.855,3.28618,0.48332,0.0,0.0
480.0,24.848,3.29864,0.48117,0.0,0.0
540.0,24.851,3.27928,0.47755,0.0,0.0
600.0,24.854,3.27186,0.47382,0.0,0.0
660.0,24.887,3.2417,0.46785,0.0,0.0
720.0,24.897,3.23781,0.46248,0.0,0.0
780.0,24.92,3.21858,0.45616,0.0,0.0
840.0,24.917,3.21782,0.45077,0.0,0.0
900.0,24.91,3.21298,0.44579,0.0,0.0
960.0,24.929,3.18962,0.43941,0.0,0.0
1020.0,24.918,3.19326,0.43439,0.0,0.0
1080.0,24.968,3.15464,0.42655,0.0,0.0
1140.0,24.989,3.14566,0.41913,0.0,0.0
1200.0,25.019,3.12609,0.41105,1e-08,0.0
1260.0,25.009,3.12452,0.40411,1e-08,0.0
1320.0,25.065,3.08874,0.39493,1e-08,0.0
1380.0,25.096,3.07411,0.38584,1e-08,0.0
1440.0,25.109,3.06119,0.37698,1e-08,0.0
1500.0,25.067,3.06563,0.36995,1e-08,0.0
1560.0,25.066,3.04289,0.36191,1e-08,0.0
1620.0,25.033,3.04345,0.3552,1e-08,0.0
1680.0,25.022,3.02749,0.34807,1e-08,0.0
1740.0,25.065,2.99614,0.33913,1e-08,0.0
1800.0,25.098,2.97863,0.32999,1e-08,0.0
1860.0,25.144,2.95526,0.3201,1e-08,0.0
1920.0,25.105,2.96171,0.3124,1e-08,0.0
1980.0,25.083,2.94763,0.3046,1e-08,0.0
2040.0,25.077,2.93169,0.29655,1e-08,0.0
2100.0,25.047,2.92908,0.28953,1e-08,0.0
2160.0,25.02,2.92061,0.28284,1e-08,0.0
2220.0,25.028,2.89845,0.27514,1e-08,0.0
2280.0,25.01,2.89603,0.26844,1e-08,0.0
2340.0,25.03,2.87085,0.26045,1e-08,0.0
2400.0,25.017,2.86779,0.25344,1e-08,0.0
2460.0,25.037,2.84421,0.24535,2e-08,0.0
2520.0,25.031,2.83781,0.23794,2e-08,0.0
2580.0,24.994,2.84189,0.23208,2e-08,0.0
2640.0,25.002,2.81643,0.22478,2e-08,0.0
2700.0,24.998,2.80821,0.21788,2e-08,0.0
2760.0,24.963,2.81474,0.21268,2e-08,0.0
2820.0,24.932,2.81298,0.20814,2e-08,0.0
2880.0,24.927,2.79491,0.20263,2e-08,0.0
2940.0,24.898,2.80876,0.19929,2e-08,0.0
3000.0,24.879,2.80492,0.19613,2e-08,0.0
3060.0,24.862,2.8105,0.19398,2e-08,0.0
3120.0,24.867,2.78327,0.18964,2e-08,0.0
3180.0,24.862,2.78455,0.1861,2e-08,0.0
3240.0,24.857,2.7815,0.18284,2e-08,0.0
3300.0,24.853,2.77774,0.17975,2e-08,0.0
3360.0,24.846,2.7885,0.17816,2e-08,0.0
3420.0,24.842,2.78646,0.17662,2e-08,0.0
3480.0,24.847,2.80379,0.17695,2e-08,0.0
3540.0,24.856,2.8099,0.1778,2e-08,0.0
3600.0,24.85,2.79626,0.17724,2e-08,0.0
3660.0,24.848,2.79767,0.1769,2e-08,0.0
3720.0,24.844,2.78908,0.17581,2e-08,0.0
3780.0,24.841,2.77548,0.17362,2e-08,0.0
3840.0,24.839,2.77182,0.17144,2e-08,0.0
3900.0,24.838,2.76646,0.16911,2e-08,0.0
3960.0,24.839,2.75782,0.16633,2e-08,0.0
4020.0,24.839,2.75781,0.164,2e-08,0.0
4080.0,24.837,2.75927,0.16218,2e-08,0.0
4140.0,24.844,2.73748,0.1586,2e-08,0.0
4200.0,24.846,2.73522,0.15539,2e-08,0.0
4260.0,24.856,2.71886,0.15116,2e-08,0.0
4320.0,24.89,2.69195,0.14508,2e-08,0.0
4380.0,24.885,2.70001,0.14072,2e-08,0.0
4440.0,24.878,2.69532,0.13662,2e-08,0.0
4500.0,24.888,2.677,0.13145,2e-08,0.0
4560.0,24.9,2.66457,0.12595,2e-08,0.0
4620.0,24.937,2.63904,0.11893,2e-08,0.0
4680.0,24.958,2.62801,0.112,2e-08,0.0
4740.0,24.996,2.60549,0.10407,2e-08,0.0
4800.0,25.015,2.59383,0.0963,2e-08,0.0
4860.0,25.011,2.5876,0.08919,2e-08,0.0
4920.0,25.049,2.55896,0.08053,3e-08,0.0
4980.0,25.022,2.56553,0.07386,3e-08,0.0
5040.0,24.998,2.55778,0.06752,3e-08,0.0
5100.0,24.99,2.54328,0.06084,3e-08,0.0
5160.0,25.044,2.50828,0.05195,3e-08,0.0
5220.0,25.054,2.5016,0.04385,3e-08,0.0
5280.0,25.036,2.49794,0.03669,0.00437055,7.28421e-05
5340.0,25.055,2.47329,0.02836,0.06867821,0.0010717942
5400.0,25.037,2.47145,0.02119,0.13807213,0.0011565654
5460.0,25.082,2.43997,0.01221,0.31082697,0.0028792473
