t_s,T_degC,V_V,SoC,degradation,deg_rate_1_s
0.0,15.365,3.27708,0.47917,0.0,0.0
300.0,23.973,3.23538,0.45654,0.0,0.0
600.0,16.202,3.19104,0.43223,0.0,0.0
900.0,23.258,3.14469,0.40649,0.0,0.0
1200.0,16.887,3.09706,0.37964,1e-08,0.0
1500.0,22.667,3.04899,0.3521,1e-08,0.0
1800.0,17.437,3.00134,0.32432,1e-08,0.0
2100.0,22.168,2.95495,0.29678,1e-08,0.0
2400.0,17.873,2.91056,0.26993,1e-08,0.0
2700.0,21.745,2.86878,0.24419,1e-08,0.0
3000.0,18.219,2.83005,0.21988,1e-08,0.0
3300.0,21.389,2.79459,0.19725,1e-08,0.0
3600.0,18.498,2.76241,0.17642,2e-08,0.0
3900.0,21.097,2.73329,0.15738,2e-08,0.0
4200.0,18.73,2.70679,0.14002,2e-08,0.0
4500.0,20.862,2.68231,0.1241,2e-08,0.0
4800.0,18.925,2.6591,0.10928,2e-08,0.0
5100.0,20.674,2.63634,0.09515,2e-08,0.0
5400.0,19.09,2.61315,0.08126,2e-08,0.0
5700.0,20.525,2.58871,0.06714,2e-08,0.0
6000.0,19.23,2.56227,0.05232,2e-08,0.0
6300.0,20.409,2.53321,0.0364,2e-08,0.0
6600.0,19.352,2.50111,0.01904,2e-08,0.0
6900.0,20.323,2.46574,0.0,0.42910592,0.001430353
