T_degC,t_days,D_pct
5.0,0.0,0.0
5.0,18.26,0.0
5.0,36.519,0.0
5.0,54.779,0.0
5.0,73.038,0.0
5.0,91.298,0.0
5.0,109.558,0.0
5.0,127.817,0.0
5.0,146.077,0.0
5.0,164.336,0.0
5.0,182.596,0.0
5.0,200.856,0.0
5.0,219.115,0.0
5.0,237.375,0.0
5.0,255.634,0.0
5.0,273.894,0.0
5.0,292.154,0.0
5.0,310.413,0.0
5.0,328.673,0.0
5.0,346.932,0.0
15.0,0.0,0.0
15.0,18.26,0.0
15.0,36.519,0.0
15.0,54.779,0.0
15.0,73.038,0.0
15.0,91.298,0.0
15.0,109.558,0.0
15.0,127.817,0.0
15.0,146.077,0.0
15.0,164.336,0.0
15.0,182.596,0.0
15.0,200.856,0.0
15.0,219.115,0.0
15.0,237.375,0.0
15.0,255.634,0.0
15.0,273.894,0.0
15.0,292.154,0.0
15.0,310.413,0.0
15.0,328.673,0.0
15.0,346.932,0.0
25.0,0.0,0.0
25.0,18.26,0.0
25.0,36.519,0.0
25.0,54.779,0.0
25.0,73.038,0.0
25.0,91.298,0.0
25.0,109.558,0.0
25.0,127.817,0.0
25.0,146.077,0.0
25.0,164.336,0.0
25.0,182.596,0.0
25.0,200.856,0.0
25.0,219.115,0.0
25.0,237.375,0.0
25.0,255.634,0.0
25.0,273.894,0.0
25.0,292.154,0.0
25.0,310.413,0.0
25.0,328.673,0.0
25.0,346.932,0.0
35.0,0.0,0.0
35.0,18.26,0.0
35.0,36.519,0.0
35.0,54.779,0.0
35.0,73.038,0.0
35.0,91.298,0.0
35.0,109.558,0.0
35.0,127.817,0.0
35.0,146.077,0.0
35.0,164.336,0.0
35.0,182.596,0.0
35.0,200.856,0.0
35.0,219.115,0.0
35.0,237.375,0.0
35.0,255.634,0.0
35.0,273.894,0.0
35.0,292.154,0.0
35.0,310.413,0.0
35.0,328.673,0.0
35.0,346.932,0.0
45.0,0.0,0.0
45.0,18.26,0.0
45.0,36.519,0.0
45.0,54.779,0.0
45.0,73.038,0.0
45.0,91.298,0.0
45.0,109.558,0.0
45.0,127.817,0.0
45.0,146.077,0.0
45.0,164.336,0.0
45.0,182.596,0.0
45.0,200.856,0.0
45.0,219.115,0.0
45.0,237.375,0.0
45.0,255.634,0.0
45.0,273.894,0.0
45.0,292.154,0.0
45.0,310.413,0.0
45.0,328.673,0.0
45.0,346.932,0.0
