T_degC,Ea_kJ_mol,lifetime_years
5.0,20.0,10175225263.2365
5.0,24.0,24243942541.7573
5.0,28.0,57764691666.4989
5.0,32.0,137632713721.3154
5.0,36.1,327929801749.1112
5.0,40.1,781340075099.8688
5.0,44.1,1861655481450.0789
5.0,48.1,4435662833715.689
5.0,52.1,10568606796721.283
5.0,56.1,25181230812833.82
5.0,60.1,59997916229216.445
5.0,64.1,142953693511019.12
5.0,68.2,340607803950548.5
5.0,72.2,811547244864104.8
5.0,76.2,1933628422507134.8
5.0,80.2,4607148751954092.0
5.0,84.2,1.0977196743472918e+16
5.0,88.2,2.6154755323193016e+16
5.0,92.2,6.2317478861153176e+16
5.0,96.3,1.4848038620979e+17
15.0,20.0,8755895488.8295
15.0,24.0,20242653854.3238
15.0,28.0,46798758115.4593
15.0,32.0,108193509453.3793
15.0,36.1,250131327394.5962
15.0,40.1,578275732622.7805
15.0,44.1,1336909000658.1807
15.0,48.1,3090784508515.3525
15.0,52.1,7145549078789.511
15.0,56.1,16519712550881.059
15.0,60.1,38191733029138.59
15.0,64.1,88295027366635.73
15.0,68.2,204128256021452.1
15.0,72.2,471921762177343.3
15.0,76.2,1091030482292288.4
15.0,80.2,2522340796065314.0
15.0,84.2,5831370612238260.0
15.0,88.2,1.3481478502160196e+16
15.0,92.2,3.1167674752616252e+16
15.0,96.3,7.2056188001132136e+16
25.0,20.0,7610897299.0921
25.0,24.0,17107600013.7525
25.0,28.0,38454070095.711
25.0,32.0,86436174901.0467
25.0,36.1,194289247222.1721
25.0,40.1,436718904201.5458
25.0,44.1,981646714956.4125
25.0,48.1,2206522922900.532
25.0,52.1,4959771509551.378
25.0,56.1,11148460399686.709
25.0,60.1,25059253040998.43
25.0,64.1,56327613002996.99
25.0,68.2,126611913827778.3
25.0,72.2,284595349749329.6
25.0,76.2,639706885792077.8
25.0,80.2,1437918434332264.2
25.0,84.2,3232120006387700.5
25.0,88.2,7265085060643805.0
25.0,92.2,1.63302912126025e+16
25.0,96.3,3.6706853238793256e+16
35.0,20.0,6676108832.9504
35.0,24.0,14616926884.32
35.0,28.0,32002856287.64
35.0,32.0,70068272125.3817
35.0,36.1,153410142973.1659
35.0,40.1,335882008406.5118
35.0,44.1,735392858547.3374
35.0,48.1,1610097125976.1555
35.0,52.1,3525207955102.548
35.0,56.1,7718224525855.308
35.0,60.1,16898574662890.033
35.0,64.1,36998382812091.69
35.0,68.2,81005668112127.6
35.0,72.2,177356894208566.22
35.0,76.2,388311937379097.3
35.0,80.2,850184941408529.1
35.0,84.2,1861427283117900.0
35.0,88.2,4075479771019304.5
35.0,92.2,8923010592262605.0
35.0,96.3,1.9536379151188092e+16
45.0,20.0,5904598253.1504
45.0,24.0,12613067946.9125
45.0,28.0,26943320478.8401
45.0,32.0,57554793289.0656
45.0,36.1,122945285572.6735
45.0,40.1,262628746986.0125
45.0,44.1,561012636004.4307
45.0,48.1,1198403378794.637
45.0,52.1,2559961338009.969
45.0,56.1,5468444238447.714
45.0,60.1,11681380474385.695
45.0,64.1,24953102534715.434
45.0,68.2,53303402579288.48
45.0,72.2,113863705828839.3
45.0,76.2,243229191340855.53
45.0,80.2,519572405356778.94
45.0,84.2,1109881108102355.4
45.0,88.2,2370865083330665.5
45.0,92.2,5064507542584593.0
45.0,96.3,1.0818513811365162e+16
