E_heat_kWh,T_amb_degC,eta_km_per_kWh
0.05,-40.1,3360.0
0.05,-37.6,3219.5318
0.05,-35.1,3079.0635
0.05,-32.6,2938.5953
0.05,-30.1,2798.1271
0.05,-27.6,2657.6589
0.05,-25.1,2517.1906
0.05,-22.6,2376.7224
0.05,-20.1,2236.2542
0.05,-17.6,2095.786
0.05,-15.1,1955.3177
0.05,-12.6,1814.8495
0.05,-10.0,1674.3813
0.05,-7.5,1533.913
0.05,-5.0,1393.4448
0.05,-2.5,1252.9766
0.05,-0.0,1112.5084
0.05,2.5,972.0401
0.05,5.0,831.5719
0.05,7.5,691.1037
0.1,-40.1,1680.0
0.1,-37.6,1609.7659
0.1,-35.1,1539.5318
0.1,-32.6,1469.2977
0.1,-30.1,1399.0635
0.1,-27.6,1328.8294
0.1,-25.1,1258.5953
0.1,-22.6,1188.3612
0.1,-20.1,1118.1271
0.1,-17.6,1047.893
0.1,-15.1,977.6589
0.1,-12.6,907.4247
0.1,-10.0,837.1906
0.1,-7.5,766.9565
0.1,-5.0,696.7224
0.1,-2.5,626.4883
0.1,-0.0,556.2542
0.1,2.5,486.0201
0.1,5.0,415.786
0.1,7.5,345.5518
0.2,-40.1,840.0
0.2,-37.6,804.8829
0.2,-35.1,769.7659
0.2,-32.6,734.6488
0.2,-30.1,699.5318
0.2,-27.6,664.4147
0.2,-25.1,629.2977
0.2,-22.6,594.1806
0.2,-20.1,559.0635
0.2,-17.6,523.9465
0.2,-15.1,488.8294
0.2,-12.6,453.7124
0.2,-10.0,418.5953
0.2,-7.5,383.4783
0.2,-5.0,348.3612
0.2,-2.5,313.2441
0.2,-0.0,278.1271
0.2,2.5,243.01
0.2,5.0,207.893
0.2,7.5,172.7759
0.5,-40.1,336.0
0.5,-37.6,321.9532
0.5,-35.1,307.9064
0.5,-32.6,293.8595
0.5,-30.1,279.8127
0.5,-27.6,265.7659
0.5,-25.1,251.7191
0.5,-22.6,237.6722
0.5,-20.1,223.6254
0.5,-17.6,209.5786
0.5,-15.1,195.5318
0.5,-12.6,181.4849
0.5,-10.0,167.4381
0.5,-7.5,153.3913
0.5,-5.0,139.3445
0.5,-2.5,125.2977
0.5,-0.0,111.2508
0.5,2.5,97.204
0.5,5.0,83.1572
0.5,7.5,69.1104
