km_per_year,phi,total_km_k
10000,1.0,27.4
10000,1.176,32.21
10000,1.351,37.02
10000,1.527,41.83
10000,1.702,46.64
10000,1.878,51.45
10000,2.054,56.26
10000,2.229,61.07
10000,2.405,65.88
10000,2.58,70.69
10000,2.756,75.5
10000,2.931,80.31
10000,3.107,85.12
10000,3.283,89.93
10000,3.458,94.75
10000,3.634,99.56
10000,3.809,104.37
10000,3.985,109.18
10000,4.161,113.99
10000,4.336,118.8
15000,1.0,41.1
15000,1.176,48.31
15000,1.351,55.53
15000,1.527,62.74
15000,1.702,69.96
15000,1.878,77.18
15000,2.054,84.39
15000,2.229,91.61
15000,2.405,98.82
15000,2.58,106.04
15000,2.756,113.25
15000,2.931,120.47
15000,3.107,127.69
15000,3.283,134.9
15000,3.458,142.12
15000,3.634,149.33
15000,3.809,156.55
15000,3.985,163.77
15000,4.161,170.98
15000,4.336,178.2
20000,1.0,54.79
20000,1.176,64.42
20000,1.351,74.04
20000,1.527,83.66
20000,1.702,93.28
20000,1.878,102.9
20000,2.054,112.52
20000,2.229,122.14
20000,2.405,131.76
20000,2.58,141.38
20000,2.756,151.01
20000,2.931,160.63
20000,3.107,170.25
20000,3.283,179.87
20000,3.458,189.49
20000,3.634,199.11
20000,3.809,208.73
20000,3.985,218.35
20000,4.161,227.97
20000,4.336,237.6
30000,1.0,82.19
30000,1.176,96.62
30000,1.351,111.06
30000,1.527,125.49
30000,1.702,139.92
30000,1.878,154.35
30000,2.054,168.78
30000,2.229,183.21
30000,2.405,197.65
30000,2.58,212.08
30000,2.756,226.51
30000,2.931,240.94
30000,3.107,255.37
30000,3.283,269.8
30000,3.458,284.24
30000,3.634,298.67
30000,3.809,313.1
30000,3.985,327.53
30000,4.161,341.96
30000,4.336,356.39
